source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,latent_dim,seed,job_id
depablo_mixed_temp,75,20,20,20,0.6843218275177413,0.1524106543600258,0.1721180025747532,2.6830595041360537e-05,0.0051249702461063,0.0011625057290075,mp2,2,2026,4670373.zeus-master
depablo_mixed_temp,100,20,20,20,0.862346455909472,0.0936066886104646,0.1264354805514444,2.639984554093644e-05,0.0030858976300805,0.0011672217864543,mp2,2,2026,4670373.zeus-master
lj_noisy,5,20,20,20,-16.524644063316693,0.1305532346153236,0.0012192600578043,1.5351777604699636e-08,0.0002089672430884,6.161936471471563e-05,mp2,2,2026,4670373.zeus-master
lj_noisy,10,20,20,20,-2.282462642255368,0.0701412382006842,0.0021538442446725,3.608463616799895e-08,0.0001294751535169,9.745057177497074e-05,mp2,2,2026,4670373.zeus-master
lj_noisy,25,20,20,20,0.0805328952292814,0.0524931565400822,0.0041168599721615,3.2040851181136534e-07,0.0003127179923467,0.0001931993756443,mp2,2,2026,4670373.zeus-master
lj_noisy,50,20,20,20,0.5510684075552619,0.0392147019922637,0.0047651600463273,1.667020728746138e-06,0.0005693920655176,0.0002436085545923,mp2,2,2026,4670373.zeus-master
lj_noisy,75,20,20,20,0.7041854713744147,0.0352142855171384,0.0050961142073924,4.30167124250147e-06,0.0008629792835563,0.0002728928695432,mp2,2,2026,4670373.zeus-master
lj_noisy,100,20,20,20,0.5578227766599,0.0403716232145601,0.0053100823581802,8.322539179062005e-06,0.0012054240331053,0.0003281711018644,mp2,2,2026,4670373.zeus-master
reid,5,20,20,20,0.2502241482934243,0.1130053734473416,0.0215407678341569,9.718079851950278e-09,0.0001070569443982,8.79167128005065e-05,mp2,2,2026,4670373.zeus-master
reid,10,20,20,20,0.6558703730889496,0.0878277830747343,0.0283466184553629,4.216551432456583e-08,0.0002269613032694,0.0001172574779047,mp2,2,2026,4670373.zeus-master
reid,25,20,20,20,0.9175757828420024,0.0385580315665493,0.0340742914742546,2.8352917347262974e-07,0.000295201735571,0.0001506791555584,mp2,2,2026,4670373.zeus-master
reid,50,20,20,20,0.9552234557996416,0.0332454223414491,0.03674579830514,1.3663573135147544e-06,0.0005231158109381,0.0002579794636403,mp2,2,2026,4670373.zeus-master
reid,75,20,20,20,0.969117358019883,0.0293817392700745,0.0381454871288846,3.414026389236824e-06,0.000842978619039,0.0003312079461466,mp2,2,2026,4670373.zeus-master
reid,100,20,20,20,0.972885915718416,0.0282206233560554,0.0392619338029476,6.61986722718666e-06,0.0013900485355407,0.0004692074202466,mp2,2,2026,4670373.zeus-master
depablo_low_temp,5,20,20,20,0.5970229084080094,0.1371532569735758,0.0635535199374179,1.7616509428997062e-08,0.0001972444966668,8.15359326225007e-05,mp2,8,3456456,4670375.zeus-master
