split,source,original_index,frame,coordinate_mse_shared,zero_displacement_mse_shared,explained_displacement_score_shared,shuffled_same_source_coordinate_mse_shared,shuffled_original_index_shared,valid_shared,total_shared,control_shared,transfer_only_shared,variant_shared,seed,coordinate_mse_ljonly,zero_displacement_mse_ljonly,explained_displacement_score_ljonly,shuffled_same_source_coordinate_mse_ljonly,shuffled_original_index_ljonly,valid_ljonly,total_ljonly,control_ljonly,transfer_only_ljonly,variant_ljonly,latent_dim,shared_minus_ljonly_mse
train,lj_noisy,99,125,1.3483480870490894e-05,6.574357394129038e-05,0.7949080029854816,1.6116178812808357e-05,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.3819936611980664e-05,6.574357394129038e-05,0.7897903052194577,1.5890016584307887e-05,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.3645574148977006e-07
train,lj_noisy,99,149,2.176130328734871e-05,9.555911674397066e-05,0.7722739176665554,2.5137263946817257e-05,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,2.2943841031519696e-05,9.555911674397066e-05,0.7598989838615545,2.569887510617264e-05,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.1825377441709861e-06
train,lj_noisy,99,175,3.4266660804860294e-05,0.000135023263283,0.7462166150360265,3.787796958931722e-05,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,3.691581514431164e-05,0.000135023263283,0.7265966304864202,4.03130725317169e-05,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.649154339451343e-06
train,lj_noisy,99,199,4.741662633023225e-05,0.0001759650040185,0.7305337695145053,5.1051083573838696e-05,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,5.117681575939059e-05,0.0001759650040185,0.7091648078273118,5.531142960535362e-05,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.760189429158345e-06
train,lj_noisy,178,0,1.982782720233445e-07,0.0,,8.9520432311474e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,6.997127570684825e-07,0.0,,1.4444610769714927e-06,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-5.01434485045138e-07
train,lj_noisy,178,5,8.165572040752522e-08,8.898146575120337e-08,0.0823288904249036,6.761467261640064e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,5.013404233977781e-07,8.898146575120337e-08,-4.634211789672594,1.2408557950038812e-06,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-4.1968470299025284e-07
train,lj_noisy,178,10,5.2354366175677576e-08,3.5017228583456017e-07,0.8504896923784182,5.308149297889031e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,4.089588685474155e-07,3.5017228583456017e-07,-0.1678790272415482,1.131031922341208e-06,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.566045023717379e-07
train,lj_noisy,178,25,3.434606981045363e-07,2.1434675545606297e-06,0.839763985522543,5.481088010128587e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,5.745729936279531e-07,2.1434675545606297e-06,0.7319422949018093,1.3607324262920883e-06,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.3111229552341683e-07
train,lj_noisy,178,50,1.7080333236663137e-06,8.785852514847647e-06,0.8055927616836472,1.903186330309836e-06,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,2.0717459392471937e-06,8.785852514847647e-06,0.7641952291202194,3.3147312024084385e-06,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.637126155808801e-07
train,lj_noisy,178,75,4.046567482873797e-06,2.023533670580946e-05,0.8000247022471314,5.18712022312684e-06,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,4.984772203897592e-06,2.023533670580946e-05,0.753660031638293,7.139544322853908e-06,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-9.382047210237943e-07
