variant,seed,split,source,frame,control,transfer_only,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
ljonly_r16_d4,2026,train,lj_noisy,25,same_source_cyclic_next_latent,False,5,5,8.568221119276132e-07,2.6223908207612114e-06,0.6678334616524711,1.0614078348680779e-06
ljonly_r16_d4,2026,train,lj_noisy,50,same_source_cyclic_next_latent,False,5,5,2.0110281639063033e-06,1.09006710772519e-05,0.8127717063894785,2.611193872326112e-06
ljonly_r16_d4,2026,train,lj_noisy,75,same_source_cyclic_next_latent,False,5,5,4.625489600584842e-06,2.5082033971557394e-05,0.8118114416343234,5.63433468414587e-06
ljonly_r16_d4,2026,train,lj_noisy,100,same_source_cyclic_next_latent,False,5,5,8.464922757411841e-06,4.512062150752172e-05,0.8083857463691475,9.87964685918996e-06
ljonly_r16_d4,2026,train,lj_noisy,125,same_source_cyclic_next_latent,False,5,5,1.3478588152793236e-05,7.115652042557485e-05,0.8070645894636387,1.5476502812816762e-05
ljonly_r16_d4,2026,train,lj_noisy,149,same_source_cyclic_next_latent,False,5,5,1.9455095389275813e-05,0.000101857472327506,0.8066997392615065,2.1920917788520455e-05
ljonly_r16_d4,2026,train,lj_noisy,175,same_source_cyclic_next_latent,False,5,5,2.760476418188773e-05,0.00014140228158788,0.8041029462051161,3.0441736089414918e-05
ljonly_r16_d4,2026,train,lj_noisy,199,same_source_cyclic_next_latent,False,5,5,3.687864627863746e-05,0.00018346654542252,0.799733639857728,4.0051599717116916e-05
ljonly_r16_d4,2026,validation,lj_noisy,0,same_source_cyclic_next_latent,False,20,20,1.6516751088602178e-06,0.0,,1.7384139340492767e-06
ljonly_r16_d4,2026,validation,lj_noisy,5,same_source_cyclic_next_latent,False,20,20,1.3311772590895998e-06,9.562797735895856e-08,-12.991828784981678,1.4466078965824636e-06
ljonly_r16_d4,2026,validation,lj_noisy,10,same_source_cyclic_next_latent,False,20,20,1.0645138473819315e-06,4.023101709549337e-07,-1.6695631713956771,1.210713111277073e-06
ljonly_r16_d4,2026,validation,lj_noisy,25,same_source_cyclic_next_latent,False,20,20,8.143219417888758e-07,2.700515562992223e-06,0.6960657684053617,1.0897309962842883e-06
ljonly_r16_d4,2026,validation,lj_noisy,50,same_source_cyclic_next_latent,False,20,20,1.8765985657864804e-06,1.1352922138030408e-05,0.8358332288675449,2.522817334238425e-06
ljonly_r16_d4,2026,validation,lj_noisy,75,same_source_cyclic_next_latent,False,20,20,4.368739814708533e-06,2.626361301736324e-05,0.8352484386918627,5.459678311581228e-06
ljonly_r16_d4,2026,validation,lj_noisy,100,same_source_cyclic_next_latent,False,20,20,8.05029212642694e-06,4.754355759359896e-05,0.8323563755700123,9.71931483491062e-06
ljonly_r16_d4,2026,validation,lj_noisy,125,same_source_cyclic_next_latent,False,20,20,1.3213441116022296e-05,7.536162738688264e-05,0.8271422325579719,1.602576676305034e-05
ljonly_r16_d4,2026,validation,lj_noisy,149,same_source_cyclic_next_latent,False,20,20,1.9934136571464477e-05,0.00010829863385876113,0.8194216023960248,2.4275723171740536e-05
ljonly_r16_d4,2026,validation,lj_noisy,175,same_source_cyclic_next_latent,False,20,20,2.9465826901287074e-05,0.00015109891755851,0.809454647026406,3.5493478117132325e-05
ljonly_r16_d4,2026,validation,lj_noisy,199,same_source_cyclic_next_latent,False,20,20,4.031181324534882e-05,0.00019709730695462,0.8003424104706209,4.814318153876036e-05
ljonly_r16_d4,3456456,train,lj_noisy,0,same_source_cyclic_next_latent,False,5,5,7.182271588135336e-07,0.0,,7.617708718044014e-07
ljonly_r16_d4,3456456,train,lj_noisy,5,same_source_cyclic_next_latent,False,5,5,5.140345137988334e-07,9.486441570061288e-08,-4.478759882075191,5.66573200444509e-07
ljonly_r16_d4,3456456,train,lj_noisy,10,same_source_cyclic_next_latent,False,5,5,3.792175732542091e-07,3.9631250956517763e-07,0.03285127066744724,4.4694829739455597e-07
ljonly_r16_d4,3456456,train,lj_noisy,25,same_source_cyclic_next_latent,False,5,5,4.33805610100535e-07,2.6223908207612114e-06,0.8343524143358957,6.059088946130942e-07
ljonly_r16_d4,3456456,train,lj_noisy,50,same_source_cyclic_next_latent,False,5,5,1.7672246485744836e-06,1.09006710772519e-05,0.8363221258918729,2.3588522481077235e-06
ljonly_r16_d4,3456456,train,lj_noisy,75,same_source_cyclic_next_latent,False,5,5,4.4448924199969045e-06,2.5082033971557394e-05,0.8200585835200933,5.747994146076963e-06
ljonly_r16_d4,3456456,train,lj_noisy,100,same_source_cyclic_next_latent,False,5,5,8.25708357297117e-06,4.512062150752172e-05,0.8137315007533404,1.0326492520107422e-05
ljonly_r16_d4,3456456,train,lj_noisy,125,same_source_cyclic_next_latent,False,5,5,1.3159525406081229e-05,7.115652042557485e-05,0.811968104726765,1.6143493303388824e-05
ljonly_r16_d4,3456456,train,lj_noisy,149,same_source_cyclic_next_latent,False,5,5,1.921168131957529e-05,0.000101857472327506,0.8092425253599419,2.322271466255188e-05
ljonly_r16_d4,3456456,train,lj_noisy,175,same_source_cyclic_next_latent,False,5,5,2.790579237625934e-05,0.00014140228158788,0.8018333491707074,3.306597318442073e-05
ljonly_r16_d4,3456456,train,lj_noisy,199,same_source_cyclic_next_latent,False,5,5,3.8074664189480245e-05,0.00018346654542252,0.7927263517813508,4.41637028416153e-05
ljonly_r16_d4,3456456,validation,lj_noisy,0,same_source_cyclic_next_latent,False,20,20,7.476106674175753e-07,0.0,,8.526104977590876e-07
ljonly_r16_d4,3456456,validation,lj_noisy,5,same_source_cyclic_next_latent,False,20,20,5.41687114719025e-07,9.562797735895856e-08,-4.6788836243153975,6.666347921679971e-07
ljonly_r16_d4,3456456,validation,lj_noisy,10,same_source_cyclic_next_latent,False,20,20,4.031116468183882e-07,4.023101709549337e-07,-0.0022359392924603512,5.511771846045121e-07
ljonly_r16_d4,3456456,validation,lj_noisy,25,same_source_cyclic_next_latent,False,20,20,4.5338522056681543e-07,2.700515562992223e-06,0.8336691877039979,7.250075086062679e-07
ljonly_r16_d4,3456456,validation,lj_noisy,50,same_source_cyclic_next_latent,False,20,20,1.7572915766095321e-06,1.1352922138030408e-05,0.8476270492880499,2.5034743202922982e-06
ljonly_r16_d4,3456456,validation,lj_noisy,75,same_source_cyclic_next_latent,False,20,20,4.359776937690185e-06,2.626361301736324e-05,0.8363597284087334,5.746838201048376e-06
ljonly_r16_d4,3456456,validation,lj_noisy,100,same_source_cyclic_next_latent,False,20,20,8.098077228169131e-06,4.754355759359896e-05,0.8315319228933065,1.0084998029924463e-05
ljonly_r16_d4,3456456,validation,lj_noisy,125,same_source_cyclic_next_latent,False,20,20,1.3311412021721481e-05,7.536162738688264e-05,0.8257256721244917,1.6126934224303113e-05
ljonly_r16_d4,3456456,validation,lj_noisy,149,same_source_cyclic_next_latent,False,20,20,2.0113277196287525e-05,0.00010829863385876113,0.8173704802778825,2.4140710183928605e-05
ljonly_r16_d4,3456456,validation,lj_noisy,175,same_source_cyclic_next_latent,False,20,20,3.0030867219466017e-05,0.00015109891755851,0.8049604123447759,3.568675101632835e-05
ljonly_r16_d4,3456456,validation,lj_noisy,199,same_source_cyclic_next_latent,False,20,20,4.1736917683010685e-05,0.00019709730695462,0.7920872260794126,4.9213910278922414e-05
ljonly_r16_d8,123,train,lj_noisy,0,same_source_cyclic_next_latent,False,5,5,1.1114349490526364e-06,0.0,,1.2813497392016873e-06
ljonly_r16_d8,123,train,lj_noisy,5,same_source_cyclic_next_latent,False,5,5,8.803927585177007e-07,9.486441570061288e-08,-8.136546814965161,1.0846126713204284e-06
ljonly_r16_d8,123,train,lj_noisy,10,same_source_cyclic_next_latent,False,5,5,7.067607100452733e-07,3.9631250956517763e-07,-0.7268856930240097,9.604389958894899e-07
ljonly_r16_d8,123,train,lj_noisy,25,same_source_cyclic_next_latent,False,5,5,6.505781868781924e-07,2.6223908207612114e-06,0.7614628758443187,1.1391720590836485e-06
ljonly_r16_d8,123,train,lj_noisy,50,same_source_cyclic_next_latent,False,5,5,1.8558468354967772e-06,1.09006710772519e-05,0.830420155415996,3.0282453963081934e-06
ljonly_r16_d8,123,train,lj_noisy,75,same_source_cyclic_next_latent,False,5,5,4.600697411660803e-06,2.5082033971557394e-05,0.8152081739709338,6.663496787950862e-06
ljonly_r16_d8,123,train,lj_noisy,100,same_source_cyclic_next_latent,False,5,5,8.8989012510865e-06,4.512062150752172e-05,0.8002595733982958,1.1537836689967662e-05
ljonly_r16_d8,123,train,lj_noisy,125,same_source_cyclic_next_latent,False,5,5,1.4164741332933773e-05,7.115652042557485e-05,0.7977858520209579,1.6882242198335008e-05
ljonly_r16_d8,123,train,lj_noisy,149,same_source_cyclic_next_latent,False,5,5,2.022289754677331e-05,0.000101857472327506,0.7991415808361895,2.2645424542133698e-05
ljonly_r16_d8,123,train,lj_noisy,175,same_source_cyclic_next_latent,False,5,5,2.9256780180730857e-05,0.00014140228158788,0.7925277087385256,3.125565890513826e-05
ljonly_r16_d8,123,train,lj_noisy,199,same_source_cyclic_next_latent,False,5,5,4.117399257665966e-05,0.00018346654542252,0.7764507051316121,4.272529185982421e-05
ljonly_r16_d8,123,validation,lj_noisy,0,same_source_cyclic_next_latent,False,20,20,1.2018861582419048e-06,0.0,,1.5238449165622114e-06
ljonly_r16_d8,123,validation,lj_noisy,5,same_source_cyclic_next_latent,False,20,20,9.66847532168913e-07,9.562797735895856e-08,-8.968476070964046,1.3318974346532285e-06
ljonly_r16_d8,123,validation,lj_noisy,10,same_source_cyclic_next_latent,False,20,20,7.856891041768677e-07,4.023101709549337e-07,-0.9020315376967118,1.1984176238044597e-06
ljonly_r16_d8,123,validation,lj_noisy,25,same_source_cyclic_next_latent,False,20,20,7.117715007609604e-07,2.700515562992223e-06,0.7460139777419168,1.3207934642878173e-06
ljonly_r16_d8,123,validation,lj_noisy,50,same_source_cyclic_next_latent,False,20,20,1.8429841531997227e-06,1.1352922138030408e-05,0.8409486707556733,2.9758627022147264e-06
ljonly_r16_d8,123,validation,lj_noisy,75,same_source_cyclic_next_latent,False,20,20,4.364227709174884e-06,2.626361301736324e-05,0.8362818637452616,6.051724017197557e-06
ljonly_r16_d8,123,validation,lj_noisy,100,same_source_cyclic_next_latent,False,20,20,8.39023855405685e-06,4.754355759359896e-05,0.8250656293243498,1.0297572953277267e-05
ljonly_r16_d8,123,validation,lj_noisy,125,same_source_cyclic_next_latent,False,20,20,1.3865080427422072e-05,7.536162738688264e-05,0.8176580606128597,1.5723634442110777e-05
ljonly_r16_d8,123,validation,lj_noisy,149,same_source_cyclic_next_latent,False,20,20,2.077934500448464e-05,0.00010829863385876113,0.810522233972874,2.261062768411648e-05
ljonly_r16_d8,123,validation,lj_noisy,175,same_source_cyclic_next_latent,False,20,20,3.144532547594281e-05,0.00015109891755851,0.7953394193136509,3.327709064251394e-05
ljonly_r16_d8,123,validation,lj_noisy,199,same_source_cyclic_next_latent,False,20,20,4.5501891054300356e-05,0.00019709730695462,0.7733052687639486,4.73676844194415e-05
ljonly_r16_d8,456,train,lj_noisy,0,same_source_cyclic_next_latent,False,5,5,6.248320119084383e-07,0.0,,6.585798928426811e-07
ljonly_r16_d8,456,train,lj_noisy,5,same_source_cyclic_next_latent,False,5,5,4.7461965664297167e-07,9.486441570061288e-08,-4.0570333348364525,5.184343336850361e-07
ljonly_r16_d8,456,train,lj_noisy,10,same_source_cyclic_next_latent,False,5,5,3.778914845042891e-07,3.9631250956517763e-07,0.032902152459786914,4.367078190625762e-07
ljonly_r16_d8,456,train,lj_noisy,25,same_source_cyclic_next_latent,False,5,5,4.871464057032426e-07,2.6223908207612114e-06,0.8121508745753688,6.468634126122197e-07
ljonly_r16_d8,456,train,lj_noisy,50,same_source_cyclic_next_latent,False,5,5,1.8279862615599995e-06,1.09006710772519e-05,0.8296559867813086,2.32992156270484e-06
ljonly_r16_d8,456,train,lj_noisy,75,same_source_cyclic_next_latent,False,5,5,4.488993272389052e-06,2.5082033971557394e-05,0.8173356845466453,5.484774919750634e-06
ljonly_r16_d8,456,train,lj_noisy,100,same_source_cyclic_next_latent,False,5,5,8.387641992158024e-06,4.512062150752172e-05,0.8102315718929051,9.933488036040216e-06
ljonly_r16_d8,456,train,lj_noisy,125,same_source_cyclic_next_latent,False,5,5,1.3362405115913135e-05,7.115652042557485e-05,0.808773204780395,1.55234411067795e-05
ljonly_r16_d8,456,train,lj_noisy,149,same_source_cyclic_next_latent,False,5,5,1.9184659140591976e-05,0.000101857472327506,0.8094323769141069,2.183712313126307e-05
ljonly_r16_d8,456,train,lj_noisy,175,same_source_cyclic_next_latent,False,5,5,2.7224332734476774e-05,0.00014140228158788,0.8068824274868792,3.036014641111251e-05
ljonly_r16_d8,456,train,lj_noisy,199,same_source_cyclic_next_latent,False,5,5,3.6532148078549655e-05,0.00018346654542252,0.8016412766693197,4.003409958386329e-05
ljonly_r16_d8,456,validation,lj_noisy,0,same_source_cyclic_next_latent,False,20,20,6.206781293371932e-07,0.0,,7.082484486886642e-07
ljonly_r16_d8,456,validation,lj_noisy,5,same_source_cyclic_next_latent,False,20,20,4.712102267490081e-07,9.562797735895856e-08,-3.94202635036516,5.744962678022602e-07
ljonly_r16_d8,456,validation,lj_noisy,10,same_source_cyclic_next_latent,False,20,20,3.7211445587104207e-07,4.023101709549337e-07,0.07095201136823817,4.94145769636134e-07
ljonly_r16_d8,456,validation,lj_noisy,25,same_source_cyclic_next_latent,False,20,20,4.6312639909729116e-07,2.700515562992223e-06,0.8284325681574298,6.783396607090708e-07
ljonly_r16_d8,456,validation,lj_noisy,50,same_source_cyclic_next_latent,False,20,20,1.728980396364932e-06,1.1352922138030408e-05,0.8491030189836287,2.2296878796623787e-06
ljonly_r16_d8,456,validation,lj_noisy,75,same_source_cyclic_next_latent,False,20,20,4.281180406451313e-06,2.626361301736324e-05,0.8388215551402789,5.178325682209106e-06
ljonly_r16_d8,456,validation,lj_noisy,100,same_source_cyclic_next_latent,False,20,20,8.03982172783435e-06,4.754355759359896e-05,0.8327300935835498,9.498173585598125e-06
ljonly_r16_d8,456,validation,lj_noisy,125,same_source_cyclic_next_latent,False,20,20,1.3263684786579688e-05,7.536162738688264e-05,0.8265375648947557,1.5583423692078214e-05
ljonly_r16_d8,456,validation,lj_noisy,149,same_source_cyclic_next_latent,False,20,20,1.9951553895225516e-05,0.00010829863385876113,0.8193071795732099,2.3346167108684312e-05
ljonly_r16_d8,456,validation,lj_noisy,175,same_source_cyclic_next_latent,False,20,20,2.9412296316877474e-05,0.00015109891755851,0.8098228876245969,3.3933592476387275e-05
ljonly_r16_d8,456,validation,lj_noisy,199,same_source_cyclic_next_latent,False,20,20,4.0238380825029616e-05,0.00019709730695462,0.8006999299311914,4.607248220054316e-05
ljonly_r16_d8,786,train,lj_noisy,0,same_source_cyclic_next_latent,False,5,5,6.794844068735984e-07,0.0,,7.149386362925725e-07
ljonly_r16_d8,786,train,lj_noisy,5,same_source_cyclic_next_latent,False,5,5,5.204800515912211e-07,9.486441570061288e-08,-4.588580768491011,5.673966626318361e-07
ljonly_r16_d8,786,train,lj_noisy,10,same_source_cyclic_next_latent,False,5,5,4.060616390688665e-07,3.9631250956517763e-07,-0.047545066691855785,4.683975745933822e-07
ljonly_r16_d8,786,train,lj_noisy,25,same_source_cyclic_next_latent,False,5,5,4.6013383894205615e-07,2.6223908207612114e-06,0.822537226807593,6.231304325865494e-07
ljonly_r16_d8,786,train,lj_noisy,50,same_source_cyclic_next_latent,False,5,5,1.7289756669924828e-06,1.09006710772519e-05,0.839016836528464,2.222974239884934e-06
