code_snapshot,code_version,cpus,frozen_manifest,frozen_manifest_sha256,job_id,kind,memory_gb,placement,queue,seed,smoke,status,submitted_at,variant,walltime,run_status,path,elapsed_seconds,max_rss_kb,epochs_completed,total_train_frame_samples,approx_optimizer_steps_per_epoch
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672459.zeus-master,run,16,free:shared,mendels_q,2026,False,submitted,2026-09-07T19:05:40.144711+00:00,r96_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d4_s2026_code_v2,11702.73151564598,6348436,20,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672460.zeus-master,run,16,free:shared,mendels_q,3456456,False,submitted,2026-09-07T19:05:44.613781+00:00,r96_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d8_s3456456_code_v2,11185.102887153625,6315720,18,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672461.zeus-master,run,16,free:shared,mendels_q,123,False,submitted,2026-09-07T19:05:49.547174+00:00,r96_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d8_s123_code_v2,9939.176550626755,6313864,18,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672462.zeus-master,run,16,free:shared,mendels_q,456,False,submitted,2026-09-07T19:05:54.101947+00:00,r96_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d8_s456_code_v2,11326.873278617859,6323120,20,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672463.zeus-master,run,16,free:shared,mendels_q,786,False,submitted,2026-09-07T19:05:58.208511+00:00,r96_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d8_s786_code_v2,9152.84137916565,6322684,20,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672464.zeus-master,run,16,free:shared,mendels_q,2026,False,submitted,2026-09-07T19:06:03.533678+00:00,r96_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d8_s2026_code_v2,10513.029288291931,6313596,16,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672466.zeus-master,run,16,free:shared,mendels_q,3456456,False,submitted,2026-09-07T19:06:08.191795+00:00,mp2_r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d4_s3456456_code_v2,17027.256440877914,6519976,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672467.zeus-master,run,16,free:shared,mendels_q,123,False,submitted,2026-09-07T19:06:12.090816+00:00,mp2_r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d4_s123_code_v2,15838.965633153915,6454396,21,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672468.zeus-master,run,16,free:shared,mendels_q,456,False,submitted,2026-09-07T19:06:15.622955+00:00,mp2_r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d4_s456_code_v2,17021.239580869675,6509260,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672470.zeus-master,run,16,free:shared,mendels_q,786,False,submitted,2026-09-07T19:06:19.398406+00:00,mp2_r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d4_s786_code_v2,16708.375984430313,6500824,22,24000,750
