split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only,variant,seed,job_id,run_status
train,depablo_low_temp,198,175,1.22785731946351e-05,0.0001585888385307,0.922576057001276,2.183762808272149e-05,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,199,1.7018988728523254e-05,0.0002065740845864,0.9176131470576612,2.9820170311722904e-05,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,0,9.250319266129736e-08,0.0,,5.040201926931331e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,5,3.9247854743962314e-08,8.898146575120337e-08,0.5589210133523617,3.815154059338966e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,10,4.571970180222706e-08,3.5017228583456017e-07,0.8694365498021523,3.198040872121055e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,25,3.3470644211774925e-07,2.1434675545606297e-06,0.8438481415752721,5.145749355506268e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,50,1.5857013977438328e-06,8.785852514847647e-06,0.8195165016640016,2.185337052651448e-06,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,75,4.01249099013512e-06,2.023533670580946e-05,0.8017087114254365,5.849634362675715e-06,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,100,7.363873919530306e-06,3.592209759517573e-05,0.7950043451661002,1.1039443961635698e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,125,1.1526618436619174e-05,5.6316977861570194e-05,0.7953260477692509,1.7048552763299085e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,149,1.5332785551436245e-05,8.071761840255931e-05,0.8100441284705931,2.153508467017673e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,175,1.9366165361134332e-05,0.0001124141563195,0.8277248524991838,2.5130108042503707e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,178,199,2.3939590391819365e-05,0.0001466976100346,0.8368099494860769,2.857849904103205e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,0,3.6449509366320854e-07,0.0,,1.7250094686005468e-07,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,5,2.189038497135698e-07,9.910389309197853e-08,-1.2088319932134723,8.000968421129073e-08,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,10,1.3935405718257246e-07,4.115824481232266e-07,0.6614188534569136,5.412191583786807e-08,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,25,3.037965541352605e-07,2.667711441972642e-06,0.886120908972592,3.231253913327237e-07,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
