variant,source,frame,mode,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
acceleration_transfer3,reid,75,constant_velocity_recent,3,0.9596413685371972,0.0,0.0307551964209191,20,20
acceleration_transfer3,reid,75,free_rollout,3,0.9627776815845678,0.0010393549960019208,0.0281513735950505,20,20
acceleration_transfer3,reid,75,oracle_ae,3,0.9819111046643229,0.0,0.0214608772929286,20,20
acceleration_transfer3,reid,75,teacher_forced,3,0.981951100005058,3.146234641387839e-07,0.021439946497581533,20,20
acceleration_transfer3,reid,100,constant_acceleration,3,0.0318834625772622,0.0,0.1551523463483773,20,20
acceleration_transfer3,reid,100,constant_latent,3,0.3867925839361695,0.0,0.1327863403045022,20,20
acceleration_transfer3,reid,100,constant_velocity,3,0.939342995231978,0.0,0.0369697575993182,20,20
acceleration_transfer3,reid,100,constant_velocity_recent,3,0.9392107587408342,0.0,0.0386133046755215,20,20
acceleration_transfer3,reid,100,free_rollout,3,0.9565927723237099,0.000982212291075419,0.0300634673117136,20,20
acceleration_transfer3,reid,100,oracle_ae,3,0.9649679199548432,0.0,0.029469776532711395,20,20
acceleration_transfer3,reid,100,teacher_forced,3,0.9649751437804307,4.899331609027404e-07,0.029456989745796802,20,20
delta_transfer3,depablo_low_temp,10,constant_acceleration,3,0.880821318969034,0.0,0.09080888570228411,20,20
delta_transfer3,depablo_low_temp,10,constant_latent,3,0.6119240009259526,0.0,0.16783965541295057,20,20
delta_transfer3,depablo_low_temp,10,constant_velocity,3,0.8450458266807722,0.0,0.1019842366412691,20,20
delta_transfer3,depablo_low_temp,10,constant_velocity_recent,3,0.8702191867163824,0.0,0.0954840858795013,20,20
delta_transfer3,depablo_low_temp,10,free_rollout,3,0.5148062069068545,0.0042797100149102076,0.19561325203187538,20,20
delta_transfer3,depablo_low_temp,10,oracle_ae,3,0.8759258319693425,0.0,0.093879796887341,20,20
delta_transfer3,depablo_low_temp,10,teacher_forced,3,0.8318987741828664,0.00048550277432534024,0.1086105875253906,20,20
delta_transfer3,depablo_low_temp,25,constant_acceleration,3,0.847842814891068,0.0,0.0949573928190064,20,20
delta_transfer3,depablo_low_temp,25,constant_latent,3,0.529797462608565,0.0,0.2014885941075332,20,20
delta_transfer3,depablo_low_temp,25,constant_velocity,3,0.9561606669048582,0.0,0.0626363539428538,20,20
delta_transfer3,depablo_low_temp,25,constant_velocity_recent,3,0.962230830413194,0.0,0.0544386483097103,20,20
