source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,experiment,scope,seed,budget
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data,shared4,123,thirty_trajectories
reid,initial_pc1,20,20,20,-0.0882023024547686,0.1777169730979993,0.0392619338029476,latent_low_data,shared4,123,thirty_trajectories
reid,initial_z,20,20,20,0.7253521797751961,0.0926742216096758,0.0392619338029476,latent_low_data,shared4,123,thirty_trajectories
reid,observed_prefix,20,20,20,0.9710805424203688,0.0227144556271412,0.0392619338029476,latent_low_data,shared4,123,thirty_trajectories
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data,shared4,456,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.6297042571939799,0.1904311005876684,0.1309363081666797,latent_low_data,shared4,456,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.8211451964223557,0.1291225717268539,0.1309363081666797,latent_low_data,shared4,456,one_trajectory
depablo_low_temp,observed_prefix,20,20,20,0.9004384546462677,0.0911959999483252,0.1309363081666797,latent_low_data,shared4,456,one_trajectory
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data,shared4,456,one_trajectory
depablo_mixed_temp,initial_pc1,20,20,20,0.6627704737499431,0.1778751889932804,0.1264354805514444,latent_low_data,shared4,456,one_trajectory
depablo_mixed_temp,initial_z,20,20,20,0.8241636281534761,0.121754249284135,0.1264354805514444,latent_low_data,shared4,456,one_trajectory
depablo_mixed_temp,observed_prefix,20,20,20,0.8147913978006012,0.1394123649277882,0.1264354805514444,latent_low_data,shared4,456,one_trajectory
lj_noisy,constant,20,20,20,-0.0138433359667873,0.0651860800538785,0.0053100823581802,latent_low_data,shared4,456,one_trajectory
lj_noisy,initial_pc1,20,20,20,-0.1188159519553297,0.0681120285678706,0.0053100823581802,latent_low_data,shared4,456,one_trajectory
lj_noisy,initial_z,20,20,20,-0.1194915348810323,0.0685772482085657,0.0053100823581802,latent_low_data,shared4,456,one_trajectory
lj_noisy,observed_prefix,20,20,20,-0.0980725286390638,0.0658338185493982,0.0053100823581802,latent_low_data,shared4,456,one_trajectory
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data,shared4,456,one_trajectory
reid,initial_pc1,20,20,20,0.8942948609298975,0.0551652201547163,0.0392619338029476,latent_low_data,shared4,456,one_trajectory
reid,initial_z,20,20,20,0.8968841439435771,0.0540014086455509,0.0392619338029476,latent_low_data,shared4,456,one_trajectory
reid,observed_prefix,20,20,20,0.9082231467310588,0.0499015191827499,0.0392619338029476,latent_low_data,shared4,456,one_trajectory
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data,shared4,456,thirty_trajectories
depablo_low_temp,initial_pc1,20,20,20,0.0143991314662085,0.3253745772492017,0.1309363081666797,latent_low_data,shared4,456,thirty_trajectories
depablo_low_temp,initial_z,20,20,20,0.8384542655770353,0.1219640236969477,0.1309363081666797,latent_low_data,shared4,456,thirty_trajectories
depablo_low_temp,observed_prefix,20,20,20,0.9789815082303706,0.0402082290249792,0.1309363081666797,latent_low_data,shared4,456,thirty_trajectories
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data,shared4,456,thirty_trajectories
depablo_mixed_temp,initial_pc1,20,20,20,-0.0289166461541534,0.3247344098291552,0.1264354805514444,latent_low_data,shared4,456,thirty_trajectories
depablo_mixed_temp,initial_z,20,20,20,0.8101017835436177,0.1357998531169117,0.1264354805514444,latent_low_data,shared4,456,thirty_trajectories
depablo_mixed_temp,observed_prefix,20,20,20,0.7609640202191545,0.1461314966582199,0.1264354805514444,latent_low_data,shared4,456,thirty_trajectories
lj_noisy,constant,20,20,20,-0.0138433359667873,0.0651860800538785,0.0053100823581802,latent_low_data,shared4,456,thirty_trajectories
lj_noisy,initial_pc1,20,20,20,-0.1442424124142494,0.0710634660108126,0.0053100823581802,latent_low_data,shared4,456,thirty_trajectories
lj_noisy,initial_z,20,20,20,-0.2081748509928802,0.0728768378778881,0.0053100823581802,latent_low_data,shared4,456,thirty_trajectories
lj_noisy,observed_prefix,20,20,20,0.3247861935848076,0.0506055815413841,0.0053100823581802,latent_low_data,shared4,456,thirty_trajectories
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data,shared4,456,thirty_trajectories
reid,initial_pc1,20,20,20,0.0264196194938098,0.1734216940361924,0.0392619338029476,latent_low_data,shared4,456,thirty_trajectories
reid,initial_z,20,20,20,0.2812542345027804,0.1462134924933876,0.0392619338029476,latent_low_data,shared4,456,thirty_trajectories
reid,observed_prefix,20,20,20,0.9320659560271064,0.0377410092692398,0.0392619338029476,latent_low_data,shared4,456,thirty_trajectories
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data,shared4,786,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.8907562677680357,0.0964549592442568,0.1309363081666797,latent_low_data,shared4,786,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.8956911660624476,0.0943122648277731,0.1309363081666797,latent_low_data,shared4,786,one_trajectory
depablo_low_temp,observed_prefix,20,20,20,0.8914100258406394,0.0969841888004551,0.1309363081666797,latent_low_data,shared4,786,one_trajectory
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data,shared4,786,one_trajectory
depablo_mixed_temp,initial_pc1,20,20,20,0.886269005750265,0.0995418140849311,0.1264354805514444,latent_low_data,shared4,786,one_trajectory
depablo_mixed_temp,initial_z,20,20,20,0.8858820563816462,0.100751632841215,0.1264354805514444,latent_low_data,shared4,786,one_trajectory
depablo_mixed_temp,observed_prefix,20,20,20,0.8989413468446468,0.096981418770971,0.1264354805514444,latent_low_data,shared4,786,one_trajectory
lj_noisy,constant,20,20,20,-0.0138433359667873,0.0651860800538785,0.0053100823581802,latent_low_data,shared4,786,one_trajectory
lj_noisy,initial_pc1,20,20,20,-0.188950174354056,0.0711015390728456,0.0053100823581802,latent_low_data,shared4,786,one_trajectory
lj_noisy,initial_z,20,20,20,-0.249915318444533,0.0740223290683023,0.0053100823581802,latent_low_data,shared4,786,one_trajectory
lj_noisy,observed_prefix,20,20,20,-0.1654275472543847,0.0724939951382901,0.0053100823581802,latent_low_data,shared4,786,one_trajectory
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data,shared4,786,one_trajectory
reid,initial_pc1,20,20,20,0.8930011026345673,0.0576429704894744,0.0392619338029476,latent_low_data,shared4,786,one_trajectory
