source,frame,control,total,position_mse,x_mse,y_mse,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,legacy_valid,legacy_true_valid,legacy_p_ratio_r2,legacy_p_ratio_mae,legacy_target_variance,strain_x_mae,strain_y_mae,experiment,scope,seed
depablo_mixed_temp,10,ae,20,2.2415595071834105e-05,2.7877839761458743e-05,1.6953349796011707e-05,20,20,-0.1410656948940967,0.9911196642555296,3.0043239701009563,20,20,-0.0058770638161076,0.3705598334838479,0.1792210970466572,0.0056162956,0.0009550556,latent_low_data,shared4,786
depablo_mixed_temp,50,ae,20,1.88249912611127e-05,1.6742526366897436e-05,2.090745428802165e-05,20,20,-0.0360775407171167,0.3152389745460823,0.1274876421800012,20,20,-0.0370898832312474,0.3168422285909877,0.1290510646927359,0.00076630566,0.0023715454,latent_low_data,shared4,786
depablo_mixed_temp,100,ae,20,3.596088399717701e-05,4.008393716503633e-05,3.183782877158592e-05,20,20,-0.0927140477382553,0.3224208137020469,0.1249158133632106,20,20,-0.0939910960387027,0.3240661210400232,0.1264354805514444,0.007830082,0.004826637,latent_low_data,shared4,786
lj_noisy,0,ae,20,2.1551178974732466e-06,4.287622948595526e-06,2.261293570171574e-08,0,0,,,,0,0,,,,0.003539471,0.00024331451,latent_low_data,shared4,786
lj_noisy,10,ae,20,8.520345957663267e-07,1.6569884166983684e-06,4.708077101511776e-08,20,20,-43.82174276149358,0.3082718305289745,0.0021694602859201,20,20,-44.11137779908605,0.3081708289862644,0.0021538442446725,0.0021569394,0.00027797165,latent_low_data,shared4,786
lj_noisy,50,ae,20,4.85768263160935e-06,6.319274734778446e-06,3.396090443175126e-06,20,20,-21.221252378154954,0.3195580255240202,0.004814757143848,20,20,-21.42541255983155,0.3194244622296543,0.0047651600463273,0.0034180179,0.00245182,latent_low_data,shared4,786
lj_noisy,100,ae,20,3.230879619877669e-05,4.799517755600391e-05,1.6622414250377915e-05,20,20,-19.98930629572858,0.3279400579631328,0.0053832740143763,20,20,-20.246724765397023,0.3277792316663465,0.0053100823581802,0.010358731,0.0052571367,latent_low_data,shared4,786
reid,0,ae,20,6.104707676968246e-06,1.2185661535113469e-05,2.3753679379012736e-08,0,0,,,,0,0,,,,0.0058722654,0.00020174842,latent_low_data,shared4,786
reid,10,ae,20,3.5298666830385627e-06,7.010437548160553e-06,4.92959280506966e-08,20,20,0.0005360009110983,0.1486610412131995,0.0283570467788776,20,20,0.0010322956231697,0.1486263838344131,0.0283466184553629,0.0043493053,0.00025853206,latent_low_data,shared4,786
reid,50,ae,20,2.3834321922322486e-06,3.536940462822713e-06,1.2299239841695451e-06,20,20,-0.0358459508029491,0.1701995935291052,0.0367468043569681,20,20,-0.0354317249712181,0.1701669536236551,0.03674579830514,0.001783963,0.0013032969,latent_low_data,shared4,786
