kind,dimension,source,rollout_steps,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
ae,4,depablo_mixed_temp,50,5,0.7561951068977911,0.10869052532619704,0.11840917460287526,20,20
ae,4,depablo_mixed_temp,75,5,0.94510055983307,0.025892494456354113,0.06572801694476713,20,20
ae,4,depablo_mixed_temp,100,5,0.9319530370914675,0.025523002620073384,0.06277976858159487,20,20
ae,4,lj_noisy,5,5,-16.176025120530785,10.587474179401463,0.11472867516311355,20,20
ae,4,lj_noisy,10,5,-5.692214346095271,3.6809499324719694,0.0970146242488438,20,20
ae,4,lj_noisy,25,5,-0.6814565979425062,0.7703574388219883,0.06900751648705945,20,20
ae,4,lj_noisy,50,5,0.21652003053652802,0.3938943902615737,0.04898746635038756,20,20
ae,4,lj_noisy,75,5,0.06837333677060242,0.7461750943103885,0.05193248870323974,20,20
ae,4,lj_noisy,100,5,-0.6409418156465242,1.5839325334740593,0.06831481349334628,20,20
ae,4,reid,5,5,-3.37075462567014,1.5946253618673898,0.26529285075926146,20,20
ae,4,reid,10,5,-1.0791627563194894,0.7971486877579972,0.20893175410086645,20,20
ae,4,reid,25,5,0.43513986938959004,0.198600559914551,0.1125402799565427,20,20
ae,4,reid,50,5,0.8787558006126843,0.04019282664732691,0.054815172944102444,20,20
ae,4,reid,75,5,0.9405031200481666,0.017529589853918823,0.03970968127697776,20,20
ae,4,reid,100,5,0.9375937279564013,0.02625661930600456,0.03944272381326132,20,20
rollout,2,depablo_low_temp,5,5,0.5739008550730181,0.2081636156714196,0.1300155990429115,20,20
rollout,2,depablo_low_temp,10,5,0.6939544203522894,0.11366043744111054,0.1318761191738252,20,20
rollout,2,depablo_low_temp,25,5,0.8326065460477959,0.04313561508444879,0.10948713146232521,20,20
rollout,2,depablo_low_temp,50,5,0.9249345777556816,0.031249825095031224,0.0776947546597456,20,20
rollout,2,depablo_low_temp,75,5,0.9460599803444281,0.01815516077699276,0.06656439074924174,20,20
rollout,2,depablo_low_temp,100,5,0.9471192560447873,0.011303393923326027,0.06549642941139802,20,20
rollout,2,depablo_mixed_temp,5,5,0.07940782551789205,0.150268602085735,0.36528081441771026,20,20
rollout,2,depablo_mixed_temp,10,5,0.3110269752480016,0.06839118695773659,0.2637983346220564,20,20
rollout,2,depablo_mixed_temp,25,5,0.40445126211141086,0.03136216041101834,0.2282251152683655,20,20
