source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,kind,dimension,seed
depablo_low_temp,75,20,20,0.974655656752928,0.0475786901490404,0.1271388104990921,ae,4,3456456
depablo_low_temp,100,20,20,0.9751458431721882,0.0462395661463463,0.1309363081666797,ae,4,3456456
depablo_mixed_temp,5,20,20,0.4569112301839393,0.2997437769089782,0.2267994575756468,ae,4,3456456
depablo_mixed_temp,10,20,20,0.1213045848166475,0.2737653149756217,0.1792210970466572,ae,4,3456456
depablo_mixed_temp,25,20,20,0.7317982630807393,0.1398918691994249,0.1814265265332104,ae,4,3456456
depablo_mixed_temp,50,20,20,0.8498622752430349,0.1046537059801643,0.1290510646927359,ae,4,3456456
depablo_mixed_temp,75,20,20,0.9298213353902276,0.0662019847880318,0.1721180025747532,ae,4,3456456
depablo_mixed_temp,100,20,20,0.8949331125149319,0.0664216044105152,0.1264354805514444,ae,4,3456456
lj_noisy,5,20,20,-10.484608431136625,0.0931358336694766,0.0012192600578043,ae,4,3456456
lj_noisy,10,20,20,-3.0174097692655346,0.0750787084846094,0.0021538442446725,ae,4,3456456
lj_noisy,25,20,20,0.0080149582677097,0.0531553362693549,0.0041168599721615,ae,4,3456456
lj_noisy,50,20,20,0.0640302870983164,0.0527633286026365,0.0047651600463273,ae,4,3456456
lj_noisy,75,20,20,0.0466497883222365,0.0542365704038662,0.0050961142073924,ae,4,3456456
lj_noisy,100,20,20,-0.0398004739007105,0.0581988414661462,0.0053100823581802,ae,4,3456456
reid,5,20,20,-5.36713494344515,0.33881144250207,0.0215407678341569,rollout,4,3456456
reid,10,20,20,-2.5573687334213218,0.2814882484465159,0.0283466184553629,rollout,4,3456456
reid,25,20,20,-0.4605438440591189,0.1831487122984821,0.0340742914742546,rollout,4,3456456
reid,50,20,20,0.2862268196446224,0.1252914500912769,0.03674579830514,rollout,4,3456456
reid,75,20,20,0.5225702957590566,0.1063358628139664,0.0381454871288846,rollout,4,3456456
reid,100,20,20,0.6250716511229494,0.0963840921027008,0.0392619338029476,rollout,4,3456456
depablo_low_temp,5,20,20,0.1729477461618341,0.1851846722583115,0.0635535199374179,rollout,4,3456456
depablo_low_temp,10,20,20,0.5976827037945726,0.1651566002166811,0.0890919672458267,rollout,4,3456456
depablo_low_temp,25,20,20,0.7937414862426052,0.1299769506758002,0.1113451632350467,rollout,4,3456456
depablo_low_temp,50,20,20,0.8673935910904516,0.1035109172308664,0.121923909291221,rollout,4,3456456
depablo_low_temp,75,20,20,0.8987358220232149,0.0912612108007945,0.1271388104990921,rollout,4,3456456
depablo_low_temp,100,20,20,0.9103977811744096,0.0888405521551585,0.1309363081666797,rollout,4,3456456
depablo_mixed_temp,5,20,20,0.0196479144765312,0.3828639684521289,0.2267994575756468,rollout,4,3456456
depablo_mixed_temp,10,20,20,0.3577384809276888,0.2172676777506607,0.1792210970466572,rollout,4,3456456
depablo_mixed_temp,25,20,20,0.307650503427987,0.2506071137377365,0.1814265265332104,rollout,4,3456456
depablo_mixed_temp,50,20,20,0.5144578476722548,0.1892570607580429,0.1290510646927359,rollout,4,3456456
depablo_mixed_temp,75,20,20,0.6777221944061165,0.1658130598283387,0.1721180025747532,rollout,4,3456456
depablo_mixed_temp,100,20,20,0.8774541428640223,0.0969859818528648,0.1264354805514444,rollout,4,3456456
lj_noisy,5,20,20,-22.14581168630616,0.1378750791438851,0.0012192600578043,rollout,4,3456456
