source,split,index,original_index,target,z0_0,z0_1,z1_0,z1_1,z5_0,z5_1
depablo_mixed_temp,calibration,16,232,0.16853957039658546,-2.9090330600738525,-4.399569034576416,-2.9344747066497803,-4.4440178871154785,-2.9447004795074463,-4.46954345703125
depablo_mixed_temp,calibration,17,85,-0.5067330332554019,-2.8863611221313477,-4.357082843780518,-2.8830480575561523,-4.35003137588501,-2.890136957168579,-4.364137172698975
depablo_mixed_temp,calibration,18,283,-0.9331785773503565,-2.8851332664489746,-4.3533854484558105,-2.943549156188965,-4.461833953857422,-2.974796772003174,-4.51727819442749
depablo_mixed_temp,calibration,19,55,0.23430945733151606,-2.9165828227996826,-4.411632537841797,-2.9186296463012695,-4.415693759918213,-2.919804811477661,-4.418303489685059
depablo_mixed_temp,calibration,20,235,-0.6151185397036968,-2.894862413406372,-4.372241020202637,-2.970028877258301,-4.501123428344727,-2.970428705215454,-4.506723403930664
depablo_mixed_temp,calibration,21,54,-0.3576020510457859,-2.905791759490967,-4.3872809410095215,-2.9097700119018555,-4.393627643585205,-2.9174375534057617,-4.409441947937012
depablo_mixed_temp,calibration,22,251,0.3156023220656241,-2.907555103302002,-4.3999552726745605,-2.939469814300537,-4.456037521362305,-2.937138795852661,-4.451621055603027
depablo_mixed_temp,calibration,23,277,0.24526698124261048,-2.9083964824676514,-4.400605201721191,-2.943423271179199,-4.457195281982422,-2.95048451423645,-4.4771857261657715
depablo_mixed_temp,calibration,24,3,-0.5306975481373464,-2.8867599964141846,-4.357614517211914,-2.889200210571289,-4.362313270568848,-2.89109206199646,-4.36636209487915
depablo_mixed_temp,calibration,25,151,-0.5617702163313278,-2.914790153503418,-4.399783611297607,-2.919734001159668,-4.407584190368652,-2.9056010246276855,-4.378004550933838
depablo_mixed_temp,calibration,26,160,0.07192234309910783,-2.9091835021972656,-4.39993953704834,-2.9286646842956543,-4.4341936111450195,-2.9303834438323975,-4.435399055480957
