source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,dimension,seed,variant,kind
lj_noisy,75,20,20,0.5249810646190312,0.040825226431456,0.0050961142073924,2,123,delta_transfer3,ae
lj_noisy,100,20,20,-0.3388566040756318,0.0772801557203362,0.0053100823581802,2,123,delta_transfer3,ae
reid,10,20,20,0.2942774451037062,0.1112980902219926,0.0283466184553629,2,456,acceleration_transfer3,rollout
reid,25,20,20,0.8237468463667265,0.0557284846307065,0.0340742914742546,2,456,acceleration_transfer3,rollout
reid,50,20,20,0.9503347955824551,0.0265746357600087,0.03674579830514,2,456,acceleration_transfer3,rollout
reid,75,20,20,0.9629501686186293,0.0267030545411584,0.0381454871288846,2,456,acceleration_transfer3,rollout
reid,100,20,20,0.9490546927710736,0.0342424090151142,0.0392619338029476,2,456,acceleration_transfer3,rollout
depablo_low_temp,10,20,20,0.8155282925587799,0.1067353914483273,0.0890919672458267,2,456,acceleration_transfer3,rollout
depablo_low_temp,25,20,20,0.9444365844230868,0.0631964814651716,0.1113451632350467,2,456,acceleration_transfer3,rollout
depablo_low_temp,50,20,20,0.9702167766508109,0.0489909657982197,0.121923909291221,2,456,acceleration_transfer3,rollout
depablo_low_temp,75,20,20,0.9760816732979868,0.0425616054593167,0.1271388104990921,2,456,acceleration_transfer3,rollout
depablo_low_temp,100,20,20,0.982742481291238,0.0372086347579439,0.1309363081666797,2,456,acceleration_transfer3,rollout
depablo_mixed_temp,10,20,20,-0.3056556369395564,0.3767679053647835,0.1792210970466572,2,456,acceleration_transfer3,rollout
depablo_mixed_temp,25,20,20,-0.8097380136687558,0.490571143329667,0.1814265265332104,2,456,acceleration_transfer3,rollout
depablo_mixed_temp,50,20,20,-1.924093585691064,0.5224149584508744,0.1290510646927359,2,456,acceleration_transfer3,rollout
depablo_mixed_temp,75,20,20,-1.392816098668448,0.5502264767701123,0.1721180025747532,2,456,acceleration_transfer3,rollout
depablo_mixed_temp,100,20,20,-2.4340862921949515,0.5648554881892324,0.1264354805514444,2,456,acceleration_transfer3,rollout
lj_noisy,10,20,20,-2.5447919741366407,0.0757545527457353,0.0021538442446725,2,456,acceleration_transfer3,rollout
lj_noisy,25,20,20,0.0020849354350733,0.0528137088787066,0.0041168599721615,2,456,acceleration_transfer3,rollout
lj_noisy,50,20,20,0.0588115591501227,0.0524081230367421,0.0047651600463273,2,456,acceleration_transfer3,rollout
lj_noisy,75,20,20,0.1333256677729433,0.0497077651790603,0.0050961142073924,2,456,acceleration_transfer3,rollout
lj_noisy,100,20,20,0.5097549325623663,0.0387240998360717,0.0053100823581802,2,456,acceleration_transfer3,rollout
reid,10,20,20,0.30315914827711,0.1111174541610114,0.0283466184553629,2,456,acceleration_transfer3,ae
reid,25,20,20,0.8228391980764119,0.0571872835972515,0.0340742914742546,2,456,acceleration_transfer3,ae
reid,50,20,20,0.9448604819996118,0.0307141000128332,0.03674579830514,2,456,acceleration_transfer3,ae
reid,75,20,20,0.964030452575538,0.0287372839840883,0.0381454871288846,2,456,acceleration_transfer3,ae
reid,100,20,20,0.957377483647083,0.0318855254650376,0.0392619338029476,2,456,acceleration_transfer3,ae
depablo_low_temp,10,20,20,0.819203196135355,0.1059337936585537,0.0890919672458267,2,456,acceleration_transfer3,ae
depablo_low_temp,25,20,20,0.9433130234643264,0.0655514853876947,0.1113451632350467,2,456,acceleration_transfer3,ae
depablo_low_temp,50,20,20,0.963910907994502,0.0510504668941062,0.121923909291221,2,456,acceleration_transfer3,ae
depablo_low_temp,75,20,20,0.975585915210686,0.0418337861318254,0.1271388104990921,2,456,acceleration_transfer3,ae
depablo_low_temp,100,20,20,0.9829211603862394,0.0328013887810437,0.1309363081666797,2,456,acceleration_transfer3,ae
depablo_mixed_temp,10,20,20,0.3947461264140236,0.2605354653546938,0.1792210970466572,2,456,acceleration_transfer3,ae
depablo_mixed_temp,25,20,20,0.4559278287285031,0.241361026045381,0.1814265265332104,2,456,acceleration_transfer3,ae
depablo_mixed_temp,50,20,20,0.7400505326077176,0.1377693839209799,0.1290510646927359,2,456,acceleration_transfer3,ae
depablo_mixed_temp,75,20,20,0.853806258635436,0.1108581416502861,0.1721180025747532,2,456,acceleration_transfer3,ae
depablo_mixed_temp,100,20,20,0.875687739498998,0.087527069882051,0.1264354805514444,2,456,acceleration_transfer3,ae
lj_noisy,10,20,20,-2.473903471612377,0.0755783675023877,0.0021538442446725,2,456,acceleration_transfer3,ae
lj_noisy,25,20,20,0.2380223755740536,0.047668682634064,0.0041168599721615,2,456,acceleration_transfer3,ae
lj_noisy,50,20,20,0.3602119338375269,0.0455253114937491,0.0047651600463273,2,456,acceleration_transfer3,ae
lj_noisy,75,20,20,0.4666072431665865,0.0423091006430607,0.0050961142073924,2,456,acceleration_transfer3,ae
lj_noisy,100,20,20,0.3517238597906926,0.0481231986458248,0.0053100823581802,2,456,acceleration_transfer3,ae
reid,10,20,20,0.2762089175419564,0.1120562052942404,0.0283466184553629,2,456,velocity_transfer3,rollout
reid,25,20,20,0.7518396035825826,0.0678395468906107,0.0340742914742546,2,456,velocity_transfer3,rollout
reid,50,20,20,0.8679356942648562,0.0470612720790249,0.03674579830514,2,456,velocity_transfer3,rollout
reid,75,20,20,0.8872587323238471,0.0417215222539875,0.0381454871288846,2,456,velocity_transfer3,rollout
reid,100,20,20,0.8812991019165564,0.045472690938341,0.0392619338029476,2,456,velocity_transfer3,rollout
depablo_low_temp,10,20,20,0.766274431148489,0.1184972334286859,0.0890919672458267,2,456,velocity_transfer3,rollout
