dimension,variant,kind,source,rollout_steps,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
2,delta_transfer3,rollout,depablo_mixed_temp,75,3,0.2840357057116944,0.10244733149029539,0.29770631756380994,20,20
2,delta_transfer3,rollout,depablo_mixed_temp,100,3,0.18852708117443048,0.08438434469005744,0.27179166363303203,20,20
2,delta_transfer3,rollout,lj_noisy,10,3,-1.6636543848306025,1.5096489267568982,0.0617025836091891,20,20
2,delta_transfer3,rollout,lj_noisy,25,3,-1.1010566286634962,0.4531323673833415,0.07426271535533503,20,20
2,delta_transfer3,rollout,lj_noisy,50,3,-1.2195735600894253,0.7550415473757115,0.0816570585022127,20,20
2,delta_transfer3,rollout,lj_noisy,75,3,-0.820894192831125,0.5057296900826511,0.07686816077050786,20,20
2,delta_transfer3,rollout,lj_noisy,100,3,-0.22886104622202194,0.14986649686291534,0.06661895044467973,20,20
2,delta_transfer3,rollout,reid,10,3,-0.364857060262292,0.3071746485786861,0.16140885926863943,20,20
2,delta_transfer3,rollout,reid,25,3,-0.0017859302008230993,0.13387603029175973,0.15542683462884974,20,20
2,delta_transfer3,rollout,reid,50,3,0.082403680358554,0.11705512025275806,0.15715552807105104,20,20
2,delta_transfer3,rollout,reid,75,3,0.09858852428067254,0.11650682510838581,0.15925783397787455,20,20
2,delta_transfer3,rollout,reid,100,3,0.08170130993784573,0.13756801950978656,0.1627955593574093,20,20
2,velocity_transfer3,ae,depablo_low_temp,10,3,0.8118872155637428,0.10999786099742749,0.09771433965834303,20,20
2,velocity_transfer3,ae,depablo_low_temp,25,3,0.9116651309691393,0.06296127521713119,0.0749319160931617,20,20
2,velocity_transfer3,ae,depablo_low_temp,50,3,0.9546392622174241,0.02904617774851467,0.055146460499124306,20,20
2,velocity_transfer3,ae,depablo_low_temp,75,3,0.97150837137151,0.016172771031037515,0.045589773605155565,20,20
2,velocity_transfer3,ae,depablo_low_temp,100,3,0.9745210749250907,0.017985556404061742,0.0430869349034838,20,20
2,velocity_transfer3,ae,depablo_mixed_temp,10,3,0.2508884871920294,0.12458470193456396,0.27631175859170604,20,20
2,velocity_transfer3,ae,depablo_mixed_temp,25,3,0.40337575030701384,0.2033364296834362,0.2509503615529164,20,20
2,velocity_transfer3,ae,depablo_mixed_temp,50,3,0.6319386051399195,0.09366515006609724,0.16143604590143437,20,20
2,velocity_transfer3,ae,depablo_mixed_temp,75,3,0.8015893827014263,0.06845852907072913,0.12767540447597844,20,20
2,velocity_transfer3,ae,depablo_mixed_temp,100,3,0.856187486374448,0.032177435349739755,0.09461763474777617,20,20
2,velocity_transfer3,ae,lj_noisy,10,3,-1.1109165399720853,1.1804666257363627,0.05542791290693766,20,20
2,velocity_transfer3,ae,lj_noisy,25,3,0.3145062058123776,0.1031694290661523,0.0446246007127384,20,20
2,velocity_transfer3,ae,lj_noisy,50,3,0.4504167065674271,0.0829983855368844,0.043758907121355,20,20
2,velocity_transfer3,ae,lj_noisy,75,3,0.5375129193539374,0.0779310075165362,0.0404813013380455,20,20
2,velocity_transfer3,ae,lj_noisy,100,3,-0.022607098756399463,0.348934715491669,0.06450796896864576,20,20
2,velocity_transfer3,ae,reid,10,3,0.05599268921291114,0.3671624812515158,0.13712884094648334,20,20
2,velocity_transfer3,ae,reid,25,3,0.7532059315459438,0.08439922090160558,0.07360758933077534,20,20
2,velocity_transfer3,ae,reid,50,3,0.940179522411538,0.022223298404038107,0.03486069972215094,20,20
2,velocity_transfer3,ae,reid,75,3,0.9601053893511535,0.008915878186380571,0.0301309428140063,20,20
2,velocity_transfer3,ae,reid,100,3,0.946794857859257,0.011510368010699537,0.03439378520413563,20,20
2,velocity_transfer3,rollout,depablo_low_temp,10,3,0.7787143194511702,0.1313173929177338,0.11003793774665789,20,20
2,velocity_transfer3,rollout,depablo_low_temp,25,3,0.8263839710203076,0.10294488698919659,0.11540218372413559,20,20
2,velocity_transfer3,rollout,depablo_low_temp,50,3,0.8864439750470159,0.05536675135489129,0.1003008859494288,20,20
