source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,seed
depablo_mixed_temp,75,20,20,20,0.5133136965820476,0.1732862502542896,0.1721180025747532,4.184641037170422e-05,0.00630036261864,0.0017479088768595,longer,2026
depablo_mixed_temp,100,20,20,20,0.6441963720062867,0.1387239837530354,0.1264354805514444,5.987988757283347e-05,0.0069505259860306,0.0018240100849652,longer,2026
lj_noisy,5,20,20,20,-4.617289218268313,0.0621188010357395,0.0012192600578043,7.499779623998392e-08,0.0005201404797844,0.0001735359335725,longer,2026
lj_noisy,10,20,20,20,-1.2090429941911744,0.0538335075436954,0.0021538442446725,6.425581293711957e-08,0.000358374256757,0.0001458931161323,longer,2026
lj_noisy,25,20,20,20,0.1051947302937887,0.047691381675045,0.0041168599721615,3.1849443189457815e-07,0.0003774032345972,0.0001380676781991,longer,2026
lj_noisy,50,20,20,20,0.4133378916688464,0.0423046065621966,0.0047651600463273,1.6365703771725749e-06,0.0004909599199891,0.000231757556321,longer,2026
lj_noisy,75,20,20,20,0.4406107896851713,0.0439733848799383,0.0050961142073924,4.254958241745044e-06,0.0006299295462667,0.000441475934349,longer,2026
lj_noisy,100,20,20,20,0.3719710986130056,0.0477794738122076,0.0053100823581802,8.320545089191e-06,0.000905296485871,0.0006788587663322,longer,2026
reid,5,20,20,20,-1.869952244909855,0.2223801331326091,0.0215407678341569,3.5479535620552846e-08,0.0003084780386416,0.000233183335149,longer,2026
reid,10,20,20,20,-0.3410270728674893,0.1714123017718601,0.0283466184553629,6.216274559545098e-08,0.0002758507762337,0.000270933858701,longer,2026
reid,25,20,20,20,0.8289720464111944,0.0636531149262239,0.0340742914742546,3.098282940428021e-07,0.0004297926090657,0.0002449798608722,longer,2026
reid,50,20,20,20,0.9087389322464018,0.0449672906942448,0.03674579830514,1.3545713827056717e-06,0.0005551456706598,0.0003354165579366,longer,2026
reid,75,20,20,20,0.9338405581393951,0.0405331409831134,0.0381454871288846,3.3566798606443627e-06,0.0008182724937796,0.0004319362837122,longer,2026
reid,100,20,20,20,0.9341720588834111,0.0407300041882742,0.0392619338029476,6.639294815613539e-06,0.0012869362253695,0.0005526500972337,longer,2026
depablo_low_temp,5,20,20,20,0.5786125189708822,0.117594737266626,0.0635535199374179,6.576127722368597e-08,0.0004895480640698,0.0001479407513215,equal_source,3456456
depablo_low_temp,10,20,20,20,0.7889774045159923,0.0937170361647145,0.0890919672458267,5.909080340593676e-08,0.0003724149428308,0.0001589604706168,equal_source,3456456
depablo_low_temp,25,20,20,20,0.9320332191764228,0.0596362936579175,0.1113451632350467,1.5782910951500638e-07,0.0003363774274475,0.0002269531592901,equal_source,3456456
depablo_low_temp,50,20,20,20,0.9657923893811422,0.0456973362775321,0.121923909291221,6.191946006595117e-07,0.0004958826815709,0.000354649174551,equal_source,3456456
depablo_low_temp,75,20,20,20,0.979546667842088,0.0372002573466653,0.1271388104990921,1.4885546782750224e-06,0.0006312001030892,0.0005214929551584,equal_source,3456456
depablo_low_temp,100,20,20,20,0.9764329896706612,0.0502844232891786,0.1309363081666797,2.945656754604897e-06,0.000974795827642,0.0007830641261534,equal_source,3456456
depablo_mixed_temp,5,20,20,20,0.2325279037304408,0.3243485986813056,0.2267994575756468,3.254232894036591e-05,0.007185941847274,0.0007018576514383,equal_source,3456456
depablo_mixed_temp,10,20,20,20,0.4301444821936924,0.2567183623298937,0.1792210970466572,3.8599445925768805e-05,0.0076668487105052,0.0005827449727803,equal_source,3456456
depablo_mixed_temp,25,20,20,20,0.3979977924226816,0.2582743327177212,0.1814265265332104,3.386262954165886e-05,0.0068393890047445,0.0005300902354065,equal_source,3456456
depablo_mixed_temp,50,20,20,20,0.708759332648542,0.1429849531896969,0.1290510646927359,3.3953439510980844e-05,0.0061885733855888,0.0011166098338435,equal_source,3456456
depablo_mixed_temp,75,20,20,20,0.7063902969829765,0.1290032938918365,0.1721180025747532,3.20438742164697e-05,0.0053713618777692,0.0010152320377528,equal_source,3456456
depablo_mixed_temp,100,20,20,20,0.8802790766466173,0.0921641566647151,0.1264354805514444,4.9066029100686136e-05,0.0056685992982238,0.0014360907865921,equal_source,3456456
lj_noisy,5,20,20,20,-11.919618902386093,0.0865849674928847,0.0012192600578043,7.027950870153178e-08,0.0004572282137814,0.0001950314530404,equal_source,3456456
lj_noisy,10,20,20,20,-1.7338816433508373,0.0602037219383659,0.0021538442446725,7.047064141119109e-08,0.0003603781951824,0.0001742699721944,equal_source,3456456
lj_noisy,25,20,20,20,0.0941960969933582,0.0496098753457082,0.0041168599721615,3.6209353382332665e-07,0.0004608236835338,0.0001492241164669,equal_source,3456456
lj_noisy,50,20,20,20,0.2201878612596201,0.0502907761730029,0.0047651600463273,1.777659304025292e-06,0.0007922037271782,0.000240315508563,equal_source,3456456
lj_noisy,75,20,20,20,0.3970551721943689,0.040543492723733,0.0050961142073924,4.607619939633878e-06,0.0011485322378575,0.0004288482014089,equal_source,3456456
lj_noisy,100,20,20,20,0.3441279560064454,0.0489961089508904,0.0053100823581802,8.656009481455839e-06,0.0012464197352528,0.0006532941479235,equal_source,3456456
reid,5,20,20,20,-1.0857142360186902,0.1845288172205798,0.0215407678341569,4.2533963684476817e-08,0.000283488057903,0.0001779780621291,equal_source,3456456
reid,10,20,20,20,0.4186791654435766,0.1083353479323089,0.0283466184553629,6.838736315017969e-08,0.0002999316900968,0.0002026274505624,equal_source,3456456
reid,25,20,20,20,0.8703030618834182,0.051862848644814,0.0340742914742546,3.263061000069456e-07,0.0004174304776825,0.0001990651431697,equal_source,3456456
reid,50,20,20,20,0.8856755740241403,0.047411140908143,0.03674579830514,1.5415880703528728e-06,0.0007555590942502,0.0002835769824741,equal_source,3456456
reid,75,20,20,20,0.9364412472329248,0.0345556225637838,0.0381454871288846,3.622432025451872e-06,0.0006910880561918,0.0003382882059668,equal_source,3456456
reid,100,20,20,20,0.9647620026527368,0.0295755973422684,0.0392619338029476,7.122669714476615e-06,0.001039553573355,0.0003604339712182,equal_source,3456456
depablo_low_temp,5,20,20,20,0.4366297586489782,0.1564834729902502,0.0635535199374179,1.3077972647046465e-07,0.000634114537388,0.0002204319287557,equal_source,123
depablo_low_temp,10,20,20,20,0.7416587657680407,0.1302944277475802,0.0890919672458267,1.045275011435365e-07,0.000498273508856,0.0001894960107165,equal_source,123
depablo_low_temp,25,20,20,20,0.907910505555914,0.0781433937453213,0.1113451632350467,1.7660925895057746e-07,0.0004455448361113,0.0002256369982205,equal_source,123
depablo_low_temp,50,20,20,20,0.9703135763817142,0.0504542548396861,0.121923909291221,6.071310068023195e-07,0.0005850901594385,0.0002781182949547,equal_source,123
depablo_low_temp,75,20,20,20,0.9762168999327168,0.0467552830589527,0.1271388104990921,1.5792976427064786e-06,0.0010129102040082,0.0004243059112923,equal_source,123
depablo_low_temp,100,20,20,20,0.967340885462054,0.0520816760692238,0.1309363081666797,3.970251557916526e-06,0.0019331784918904,0.0006960413564229,equal_source,123
depablo_mixed_temp,5,20,20,20,0.4750949852493441,0.2693839897045127,0.2267994575756468,4.791768548813024e-05,0.0093740634067216,0.0017916972312377,equal_source,123
depablo_mixed_temp,10,20,20,20,0.5008089584001704,0.24058394401868,0.1792210970466572,4.2699582098748576e-05,0.0084081551874987,0.0013071194116491,equal_source,123
depablo_mixed_temp,25,20,20,20,0.4816320366434112,0.2274031252043899,0.1814265265332104,4.4945857693790005e-05,0.0084846832905896,0.0011893695904291,equal_source,123
depablo_mixed_temp,50,20,20,20,0.6979508608289507,0.1451267951869858,0.1290510646927359,4.145744906480786e-05,0.007303691166453,0.0015263261520885,equal_source,123
depablo_mixed_temp,75,20,20,20,0.6786954792781825,0.1236956640846244,0.1721180025747532,4.161861403133571e-05,0.0064766521565616,0.001804925003671,equal_source,123
depablo_mixed_temp,100,20,20,20,0.7864677544155895,0.1049732563553898,0.1264354805514444,5.550759888706125e-05,0.0060315268114209,0.0020841149584157,equal_source,123
lj_noisy,5,20,20,20,-2.186732655134825,0.0473899096338909,0.0012192600578043,8.6597459558746e-08,0.0005679181835148,0.0002340572573302,equal_source,123
