variant,source,frame,seeds,r2_mean,r2_std,r2_min,position_mse,strain_x_mae,strain_y_mae,p_ratio_mae,valid_min,total_min
lj_edges_response,depablo_mixed_temp,75,5,0.3232059057117082,0.23189088559950186,-0.0046589122006341,2.434852986198166e-05,0.0038408674485981204,0.0018583471141755,0.22518977383416394,20,20
lj_edges_response,depablo_mixed_temp,100,5,0.37467143098735345,0.25217220878324753,0.1050476377527859,3.3616587694496046e-05,0.0042911870731040195,0.00251097084488714,0.17755549976514917,20,20
lj_edges_response,lj_noisy,5,5,-3.452075227011729,3.760702087733628,-9.586716624370997,1.67109880289118e-07,0.00085665286402212,0.00025745881153848,0.0576776857603312,20,20
lj_edges_response,lj_noisy,10,5,-1.2009606199705534,1.6343703115850536,-4.006901691622615,8.47112677249129e-08,0.00048720586928531994,0.00013407073070988,0.05524774421483456,20,20
lj_edges_response,lj_noisy,25,5,-0.1492065466180209,0.3678622501374642,-0.7658436886228486,3.289021877606047e-07,0.00038527571130542,0.00024117090681096,0.05603615884854142,20,20
lj_edges_response,lj_noisy,50,5,-0.06875587419973604,0.1792165934356552,-0.2649499032935731,1.650911480624018e-06,0.0007084047188982,0.00033657486550504,0.0580200577935055,20,20
lj_edges_response,lj_noisy,75,5,0.11422733243969754,0.15602389438094916,-0.0352808705602194,4.283225655399292e-06,0.0009461241262033,0.00047532674623648003,0.055574734651559675,20,20
lj_edges_response,lj_noisy,100,5,0.11313088274121592,0.030225673591820566,0.0704415706366224,8.606669352957396e-06,0.0014341666828840399,0.00065213198540728,0.059340098264813776,20,20
lj_edges_response,reid,5,5,0.16198465496848716,0.1893157864922432,-0.0808019042941288,1.1929245120612108e-07,0.00072659357625522,0.00012200889046645692,0.11474242554265549,20,20
lj_edges_response,reid,10,5,0.38083561966086643,0.13859134941006115,0.1940540037488679,1.0273206390465363e-07,0.0005166793405078,0.00018138750547216,0.11377464519478378,20,20
lj_edges_response,reid,25,5,0.7224897705915273,0.11143991608617192,0.6174679068459463,3.7044132913166553e-07,0.0005461191362701,0.0003105567749298,0.08253877970978399,20,20
lj_edges_response,reid,50,5,0.9175412822112884,0.030211091618530566,0.8758887476486399,1.4822293147176425e-06,0.00064305347856128,0.0003427363344235,0.0443593946004229,20,20
lj_edges_response,reid,75,5,0.9464710748867553,0.014574550552947992,0.9257771383774668,3.5158248226707653e-06,0.0008628408331423601,0.00044459307784558,0.0353940425805711,20,20
lj_edges_response,reid,100,5,0.9325165767508834,0.03032310049004499,0.8837820377826483,7.0053423172566905e-06,0.00178563755005592,0.00061372641692282,0.04007042741856946,20,20
longer,depablo_low_temp,5,5,0.7176830097737488,0.0674452159229882,0.632932224782893,1.3025843847991328e-07,0.00067955537699158,0.00013734266714889227,0.10504301744893367,20,20
longer,depablo_low_temp,10,5,0.8235840264364029,0.06154632242090891,0.7297834070246367,1.1368697579783315e-07,0.0005683999153552,0.00014518664287603653,0.09851637813495548,20,20
longer,depablo_low_temp,25,5,0.9282841902217793,0.03138438966935627,0.8998632230835774,2.0412411769754612e-07,0.0005118305655195801,0.00020103362563529586,0.06408870970879314,20,20
longer,depablo_low_temp,50,5,0.958914804304408,0.020603933634701328,0.9406162559631884,6.345383546602079e-07,0.00056383775081482,0.00031891693623034,0.05009200921463132,20,20
longer,depablo_low_temp,75,5,0.968835399385517,0.015560159738642146,0.9505592140838508,1.4300892307517186e-06,0.00070610946044318,0.00046292053535573996,0.04375550330897674,20,20
longer,depablo_low_temp,100,5,0.9671539261113477,0.01410479245113237,0.9501207737634328,2.8661462485501945e-06,0.00124391768127674,0.0006281952990684401,0.04826061791269118,20,20
longer,depablo_mixed_temp,5,5,0.1895781004915435,0.11511081960894129,-0.0001182385950861,4.23668309881009e-05,0.00901186620991206,0.00119388884522772,0.346215663906805,20,20
longer,depablo_mixed_temp,10,5,0.33480777232964076,0.10745386282814144,0.1635464509892118,4.860934145966667e-05,0.00930967704392964,0.00128473984870646,0.2596569248200042,20,20
longer,depablo_mixed_temp,25,5,0.3891806005578129,0.03545217540483981,0.3528081364236747,4.587183622959401e-05,0.008850497403182039,0.0010126041635520999,0.2382944700145535,20,20
longer,depablo_mixed_temp,50,5,0.718917320009014,0.06593576116449007,0.633142604512289,4.6475036604078924e-05,0.00806089795660222,0.00140399492403952,0.14462813447203637,20,20
longer,depablo_mixed_temp,75,5,0.6321364305490162,0.08292858741265441,0.5133136965820476,4.656518883280114e-05,0.007364407088607481,0.00177183558058454,0.15029740721157855,20,20
longer,depablo_mixed_temp,100,5,0.6842830654842047,0.12430166063455582,0.5316770638963224,5.404223458867818e-05,0.00702990408055478,0.00193011590978124,0.1280319229938518,20,20
longer,lj_noisy,5,5,-11.263440254093265,8.262167975735386,-20.58594872237867,7.127783698379632e-08,0.00052829803607888,0.00013029238783924282,0.09941462737027504,20,20
longer,lj_noisy,10,5,-3.967805642027051,3.319491384245857,-7.7862246138807905,6.329924156389665e-08,0.00035948206845198003,0.00013236349594076494,0.08152843642863704,20,20
longer,lj_noisy,25,5,-0.31583898844159863,0.4699850305799916,-1.0131011079551215,3.4804934671228695e-07,0.00041875203372903995,0.00019658563716796,0.05761564497008278,20,20
longer,lj_noisy,50,5,0.2208510931203434,0.26293793888787914,-0.231156092025651,1.68719472696921e-06,0.0005877541471272401,0.00027736310381436,0.04776384482524312,20,20
longer,lj_noisy,75,5,0.3071935098983527,0.12062771517197786,0.1859630139812191,4.351072884674067e-06,0.0007946297898888,0.00041711646015752,0.0476958165925227,20,20
longer,lj_noisy,100,5,0.24440517206908496,0.22984928718228376,-0.0492471620882706,8.616075765530695e-06,0.00121373710222536,0.00059111734153696,0.0521152984101944,20,20
longer,reid,5,5,-0.8008241804943793,0.9068331963937998,-1.869952244909855,4.481409153100913e-08,0.00032819950138214,0.00018241436555395895,0.16261979854554603,20,20
longer,reid,10,5,0.13049964682494122,0.47545809133556094,-0.3410270728674893,6.943791817537458e-08,0.00030306985019704004,0.00022431169920306,0.12805243556506268,20,20
longer,reid,25,5,0.8380105637416142,0.07875910092979989,0.7558096938022635,3.191529880908206e-07,0.00042372440220782,0.00022000719258354003,0.05800468948923232,20,20
longer,reid,50,5,0.919077240683424,0.016603014798567906,0.9017343716259564,1.4491931416671378e-06,0.00071822933852668,0.00027895255887408,0.04071630004860098,20,20
longer,reid,75,5,0.9451362134905672,0.011587874249181172,0.9338405581393951,3.486115865314332e-06,0.0008627182245254,0.00039685089155678003,0.03509039662276818,20,20
longer,reid,100,5,0.9491268393190524,0.01110953841228025,0.9341720588834111,6.956296879820912e-06,0.0014909776113926601,0.000542118132289,0.03717681147195202,20,20
response_selection,depablo_low_temp,5,5,0.31515037708462507,0.19445024043974918,0.0619403222344544,6.40549046906358e-07,0.00126704768801572,0.00031227055711493997,0.1700844626563321,20,20
response_selection,depablo_low_temp,10,5,0.7256926208465675,0.05894874713785538,0.6678064462137608,4.6026588842007497e-07,0.00102544912893786,0.00027084289318732004,0.12755071442750082,20,20
response_selection,depablo_low_temp,25,5,0.9152437308879551,0.02737926501183229,0.886712627391446,3.141646671700471e-07,0.0007022362062707,0.00025067855109224,0.0746991302614449,20,20
response_selection,depablo_low_temp,50,5,0.9621572575638666,0.02311182515924425,0.9261070372144552,9.330866267731609e-07,0.0010259066568686999,0.00043865369370902,0.04993402321551012,20,20
response_selection,depablo_low_temp,75,5,0.9681930438732007,0.012004714326520317,0.9523605645248444,2.4805532633820347e-06,0.0015247270418330399,0.0007580189418512999,0.047571040626360285,20,20
response_selection,depablo_low_temp,100,5,0.9210116456666115,0.0906979252554079,0.7597360796785692,5.208388546122932e-06,0.00241881019435818,0.00126309159590158,0.07121522453547958,20,20
response_selection,depablo_mixed_temp,5,5,0.182363885737353,0.14473326444452358,0.0483918541710199,4.13493617638494e-05,0.008803012815769739,0.0012624519279779201,0.3410971297533627,20,20
response_selection,depablo_mixed_temp,10,5,0.39441871835930786,0.10060145228818329,0.2574821417569813,4.0779368499812564e-05,0.008386361554730621,0.00114051314867534,0.2519000042730732,20,20
response_selection,depablo_mixed_temp,25,5,0.2700975780877587,0.20459486574282768,0.0776409551063594,3.909375780565938e-05,0.00777843884890894,0.00136275726341404,0.26501383892883074,20,20
response_selection,depablo_mixed_temp,50,5,0.5797258465323469,0.1519254502776423,0.3505759210636407,3.69515959997102e-05,0.0063528545806184195,0.0017451103802886398,0.17141232909097695,20,20
response_selection,depablo_mixed_temp,75,5,0.5761771625175316,0.2132242769727532,0.2410675326224395,3.537185688287536e-05,0.0053151921229436395,0.0018658417765982198,0.16779407445485175,20,20
response_selection,depablo_mixed_temp,100,5,0.6869262454674174,0.2599287492244162,0.3178168210980586,4.455951891941367e-05,0.00457342273555692,0.00221308098756704,0.1347840312456193,20,20
