split,trajectory,source,frame,condition,position_mse,normalized_position_mse,start
train,22,depablo_low_temp,25,same_source_same_time_permuted,1.7563307608270406e-07,0.12514331936836243,
train,22,depablo_low_temp,25,training_source_time_mean,1.373506535173874e-07,0.08535153418779373,
train,22,depablo_low_temp,25,wrong_time,1.2307427823543549e-05,2.9998366832733154,
train,22,depablo_low_temp,25,optimized_code,1.2296194995542464e-07,0.07205883413553238,encoder
train,22,depablo_low_temp,25,optimized_code,4.3725631826418976e-07,0.3827604651451111,normal_0
train,22,depablo_low_temp,25,optimized_code,1.0459380064276047e-06,0.9400977492332458,normal_1
train,20,depablo_low_temp,50,encoder,3.9886879221739946e-07,0.23908591270446777,
train,20,depablo_low_temp,50,same_source_same_time_permuted,1.7989498246606672e-06,1.6541104316711426,
train,20,depablo_low_temp,50,training_source_time_mean,6.573219479832915e-07,0.5386025309562683,
train,20,depablo_low_temp,50,wrong_time,6.115421001595678e-06,1.1322027444839478,
train,20,depablo_low_temp,50,optimized_code,3.482169859125861e-07,0.2168668657541275,encoder
train,20,depablo_low_temp,50,optimized_code,3.878207621710317e-07,0.2577425241470337,normal_0
train,20,depablo_low_temp,50,optimized_code,1.2996000577913946e-06,1.1674809455871582,normal_1
train,21,depablo_low_temp,50,encoder,1.0516281463424093e-06,0.48456940054893494,
train,21,depablo_low_temp,50,same_source_same_time_permuted,2.7219653020438273e-06,1.5520883798599243,
train,21,depablo_low_temp,50,training_source_time_mean,2.001406983254128e-06,1.1040486097335815,
train,21,depablo_low_temp,50,wrong_time,6.634437340835575e-06,2.7177202701568604,
train,21,depablo_low_temp,50,optimized_code,9.728191798785701e-07,0.4728386104106903,encoder
train,21,depablo_low_temp,50,optimized_code,1.039479343489802e-06,0.5447070598602295,normal_0
train,21,depablo_low_temp,50,optimized_code,9.844561645877548e-07,0.47397688031196594,normal_1
train,22,depablo_low_temp,50,encoder,5.634161652778857e-07,0.32247641682624817,
train,22,depablo_low_temp,50,same_source_same_time_permuted,7.566565614069987e-07,0.4902036786079407,
train,22,depablo_low_temp,50,training_source_time_mean,6.966877776903857e-07,0.39112114906311035,
train,22,depablo_low_temp,50,wrong_time,6.170710548758507e-06,1.2870538234710693,
train,22,depablo_low_temp,50,optimized_code,5.222963181950036e-07,0.3090473711490631,encoder
train,22,depablo_low_temp,50,optimized_code,1.6378182863263646e-06,1.2283554077148438,normal_0
train,22,depablo_low_temp,50,optimized_code,2.211263563367538e-06,1.04251229763031,normal_1
train,20,depablo_low_temp,75,encoder,8.077781785686966e-07,0.513221800327301,
train,20,depablo_low_temp,75,same_source_same_time_permuted,3.882690180034842e-06,3.50190806388855,
train,20,depablo_low_temp,75,training_source_time_mean,1.5171036693573114e-06,1.259512186050415,
train,20,depablo_low_temp,75,wrong_time,1.5070709196152166e-05,2.771904468536377,
train,20,depablo_low_temp,75,optimized_code,7.854175692045828e-07,0.4957629442214966,encoder
train,20,depablo_low_temp,75,optimized_code,4.121195161133073e-06,2.271109104156494,normal_0
train,20,depablo_low_temp,75,optimized_code,5.535642685572384e-06,2.3145229816436768,normal_1
train,21,depablo_low_temp,75,encoder,2.493842657713685e-06,1.210344672203064,
train,21,depablo_low_temp,75,same_source_same_time_permuted,5.316472197591793e-06,3.3639919757843018,
train,21,depablo_low_temp,75,training_source_time_mean,4.399182216729969e-06,2.6065025329589844,
train,21,depablo_low_temp,75,wrong_time,1.7360938727506436e-05,6.913599491119385,
train,21,depablo_low_temp,75,optimized_code,2.325906052647042e-06,1.1566433906555176,encoder
train,21,depablo_low_temp,75,optimized_code,4.338415692473063e-06,2.0774824619293213,normal_0
train,21,depablo_low_temp,75,optimized_code,4.414736395119689e-06,2.5239017009735107,normal_1
train,22,depablo_low_temp,75,encoder,1.4612113545808825e-06,0.7785719633102417,
train,22,depablo_low_temp,75,same_source_same_time_permuted,1.7026267187247868e-06,1.0506656169891357,
train,22,depablo_low_temp,75,training_source_time_mean,1.6788126231404021e-06,0.9161449074745178,
train,22,depablo_low_temp,75,wrong_time,1.5619665646227077e-05,3.280640125274658,
train,22,depablo_low_temp,75,optimized_code,1.1534510804267484e-06,0.6848173141479492,encoder
train,22,depablo_low_temp,75,optimized_code,3.8913449316169135e-06,1.2066878080368042,normal_0
train,22,depablo_low_temp,75,optimized_code,4.334875029599061e-06,1.4161711931228638,normal_1
train,20,depablo_low_temp,100,encoder,1.807728040148504e-06,0.9831833243370056,
train,20,depablo_low_temp,100,same_source_same_time_permuted,7.301211553567555e-06,5.608281135559082,
train,20,depablo_low_temp,100,training_source_time_mean,3.41596023645252e-06,2.3222715854644775,
train,20,depablo_low_temp,100,wrong_time,2.253870843560435e-05,4.3235273361206055,
train,20,depablo_low_temp,100,optimized_code,1.7200623005919624e-06,1.0015288591384888,encoder
train,20,depablo_low_temp,100,optimized_code,8.774487469054293e-06,2.7773964405059814,normal_0
train,20,depablo_low_temp,100,optimized_code,7.186559741967358e-06,2.348714590072632,normal_1
train,21,depablo_low_temp,100,encoder,4.632098352885805e-06,2.434274911880493,
train,21,depablo_low_temp,100,same_source_same_time_permuted,7.322378223761916e-06,5.235429763793945,
train,21,depablo_low_temp,100,training_source_time_mean,6.963986379560083e-06,4.855001926422119,
train,21,depablo_low_temp,100,wrong_time,2.745258461800404e-05,10.974589347839355,
train,21,depablo_low_temp,100,optimized_code,4.510826329351403e-06,2.2315330505371094,encoder
train,21,depablo_low_temp,100,optimized_code,1.4892199033056386e-05,8.387407302856445,normal_0
train,21,depablo_low_temp,100,optimized_code,8.53316487336997e-06,5.538142681121826,normal_1
train,22,depablo_low_temp,100,encoder,4.469133727980079e-06,1.7889206409454346,
train,22,depablo_low_temp,100,same_source_same_time_permuted,4.01046463593957e-06,1.8872500658035278,
train,22,depablo_low_temp,100,training_source_time_mean,4.500586783251492e-06,1.8607151508331299,
train,22,depablo_low_temp,100,wrong_time,2.4664850570843555e-05,5.425975322723389,
train,22,depablo_low_temp,100,optimized_code,3.4307413443457335e-06,1.5616215467453003,encoder
train,22,depablo_low_temp,100,optimized_code,1.1951694432354998e-05,3.347121477127075,normal_0
train,22,depablo_low_temp,100,optimized_code,1.3401656360656489e-05,3.574556350708008,normal_1
train,40,lj_noisy,5,encoder,5.574920791673321e-08,0.011287146247923374,
train,40,lj_noisy,5,same_source_same_time_permuted,2.9783620902890107e-07,0.0476280115544796,
train,40,lj_noisy,5,training_source_time_mean,1.284893045294666e-07,0.02333039417862892,
train,40,lj_noisy,5,wrong_time,5.698530003428459e-06,1.3077418804168701,
train,40,lj_noisy,5,optimized_code,2.1162058772006276e-08,0.0050095319747924805,encoder
train,40,lj_noisy,5,optimized_code,1.5799623724888079e-06,1.427505612373352,normal_0
train,40,lj_noisy,5,optimized_code,1.4722056675964268e-06,1.384932041168213,normal_1
train,41,lj_noisy,5,encoder,1.282897130749916e-07,0.021258648484945297,
train,41,lj_noisy,5,same_source_same_time_permuted,3.050885055699837e-08,0.008609158918261528,
train,41,lj_noisy,5,training_source_time_mean,4.207597470440305e-08,0.008773471228778362,
train,41,lj_noisy,5,wrong_time,8.219893061323091e-06,2.177321195602417,
train,41,lj_noisy,5,optimized_code,1.0562464680674566e-08,0.0031596829649060965,encoder
train,41,lj_noisy,5,optimized_code,4.4257467379793525e-07,0.43113118410110474,normal_0
train,41,lj_noisy,5,optimized_code,1.287528561988438e-06,1.2203348875045776,normal_1
train,42,lj_noisy,5,encoder,8.490325598131676e-08,0.018610090017318726,
train,42,lj_noisy,5,same_source_same_time_permuted,4.468937220281077e-08,0.009006449952721596,
train,42,lj_noisy,5,training_source_time_mean,1.0992410892640692e-07,0.01990300603210926,
train,42,lj_noisy,5,wrong_time,9.206851245835423e-06,2.390570640563965,
train,42,lj_noisy,5,optimized_code,1.8359520126409734e-08,0.004347953479737043,encoder
train,42,lj_noisy,5,optimized_code,1.4934265664123814e-06,1.4228166341781616,normal_0
train,42,lj_noisy,5,optimized_code,1.962655233000987e-06,1.768988013267517,normal_1
train,40,lj_noisy,10,encoder,3.9843897070568346e-08,0.015245574526488781,
train,40,lj_noisy,10,same_source_same_time_permuted,2.8487150416367513e-07,0.054229386150836945,
train,40,lj_noisy,10,training_source_time_mean,1.0246098014476956e-07,0.02646641619503498,
train,40,lj_noisy,10,wrong_time,1.57455142471008e-05,3.4210822582244873,
train,40,lj_noisy,10,optimized_code,3.414547222746478e-08,0.014384587295353413,encoder
train,40,lj_noisy,10,optimized_code,1.5424101320604677e-06,1.519539713859558,normal_0
train,40,lj_noisy,10,optimized_code,1.144364773608686e-06,1.1328781843185425,normal_1
train,41,lj_noisy,10,encoder,8.649620752976261e-08,0.021745260804891586,
train,41,lj_noisy,10,same_source_same_time_permuted,2.741891513835526e-08,0.013007255271077156,
train,41,lj_noisy,10,training_source_time_mean,2.8938741181150363e-08,0.013148747384548187,
train,41,lj_noisy,10,wrong_time,1.6259189578704536e-05,4.372002124786377,
train,41,lj_noisy,10,optimized_code,2.7056985985041138e-08,0.012807747349143028,encoder
train,41,lj_noisy,10,optimized_code,1.4983892242526053e-06,1.4917386770248413,normal_0
train,41,lj_noisy,10,optimized_code,1.0221993989034672e-06,1.0247242450714111,normal_1
train,42,lj_noisy,10,encoder,5.374971223659486e-08,0.01555667631328106,
train,42,lj_noisy,10,same_source_same_time_permuted,2.758471495667436e-08,0.01060286071151495,
train,42,lj_noisy,10,training_source_time_mean,6.79155647276275e-08,0.016484342515468597,
train,42,lj_noisy,10,wrong_time,1.8061564333038405e-05,4.72959566116333,
train,42,lj_noisy,10,optimized_code,2.713916913421599e-08,0.010200031101703644,encoder
train,42,lj_noisy,10,optimized_code,1.221434445142222e-06,1.2191892862319946,normal_0
train,42,lj_noisy,10,optimized_code,1.979963826670428e-06,1.9568098783493042,normal_1
train,40,lj_noisy,25,encoder,3.2517033332624123e-07,0.1548132598400116,
train,40,lj_noisy,25,same_source_same_time_permuted,7.258221899064665e-07,0.2501080334186554,
train,40,lj_noisy,25,training_source_time_mean,3.706699658323487e-07,0.17185264825820923,
train,40,lj_noisy,25,wrong_time,2.6240018996759318e-05,5.463212966918945,
train,40,lj_noisy,25,optimized_code,2.959088760690065e-07,0.14948779344558716,encoder
train,40,lj_noisy,25,optimized_code,2.7713119834515965e-06,2.5784945487976074,normal_0
train,40,lj_noisy,25,optimized_code,5.272646603771136e-07,0.3966372609138489,normal_1
train,41,lj_noisy,25,encoder,2.8389277417772973e-07,0.1420261412858963,
train,41,lj_noisy,25,same_source_same_time_permuted,3.154866021759517e-07,0.15039674937725067,
train,41,lj_noisy,25,training_source_time_mean,3.253441036576987e-07,0.15731273591518402,
train,41,lj_noisy,25,wrong_time,2.0259281882317737e-05,6.036935329437256,
train,41,lj_noisy,25,optimized_code,2.720741463235754e-07,0.13992692530155182,encoder
train,41,lj_noisy,25,optimized_code,2.2406786683859536e-06,2.0379478931427,normal_0
train,41,lj_noisy,25,optimized_code,1.66839402027108e-06,1.466650128364563,normal_1
train,42,lj_noisy,25,encoder,2.226262267868151e-07,0.11676496267318726,
train,42,lj_noisy,25,same_source_same_time_permuted,3.5640934470393404e-07,0.17315633594989777,
train,42,lj_noisy,25,training_source_time_mean,2.2301350099951378e-07,0.12069892883300781,
train,42,lj_noisy,25,wrong_time,2.3163102014223114e-05,6.671358585357666,
train,42,lj_noisy,25,optimized_code,2.1797981730742322e-07,0.1161939948797226,encoder
train,42,lj_noisy,25,optimized_code,3.0058577067393344e-06,2.9878439903259277,normal_0
train,42,lj_noisy,25,optimized_code,1.3392399296208168e-06,1.2161496877670288,normal_1
train,40,lj_noisy,50,encoder,1.5356760059148655e-06,0.8163132071495056,
train,40,lj_noisy,50,same_source_same_time_permuted,2.943205572591978e-06,1.2759612798690796,
train,40,lj_noisy,50,training_source_time_mean,1.9165975118085044e-06,0.9503369927406311,
train,40,lj_noisy,50,wrong_time,6.398004188667983e-06,1.9475431442260742,
train,40,lj_noisy,50,optimized_code,1.5267745538949384e-06,0.8109605312347412,encoder
train,40,lj_noisy,50,optimized_code,4.536529104370857e-06,3.7309513092041016,normal_0
train,40,lj_noisy,50,optimized_code,3.4345996482443297e-06,2.6058146953582764,normal_1
train,41,lj_noisy,50,encoder,1.6246286804744159e-06,0.8413903713226318,
train,41,lj_noisy,50,same_source_same_time_permuted,1.7120537449955009e-06,0.8833580017089844,
train,41,lj_noisy,50,training_source_time_mean,1.7536748373458977e-06,0.9059463739395142,
train,41,lj_noisy,50,wrong_time,7.481287411792437e-06,2.642022132873535,
train,41,lj_noisy,50,optimized_code,1.6143644643307198e-06,0.8425196409225464,encoder
train,41,lj_noisy,50,optimized_code,4.264414656063309e-06,3.3083431720733643,normal_0
train,41,lj_noisy,50,optimized_code,4.058636932313675e-06,3.132951259613037,normal_1
train,42,lj_noisy,50,encoder,1.1081332331741578e-06,0.6634892821311951,
train,42,lj_noisy,50,same_source_same_time_permuted,1.4345373529067729e-06,0.8868709206581116,
train,42,lj_noisy,50,training_source_time_mean,1.104427497011784e-06,0.6773480176925659,
train,42,lj_noisy,50,wrong_time,7.964642463775817e-06,2.8055055141448975,
train,42,lj_noisy,50,optimized_code,1.0681719686544966e-06,0.6485849618911743,encoder
