split,source,frame,condition,start,total,position_mse,normalized_position_mse
val,lj_noisy,5,same_source_same_time_permuted,,3,1.4482776518794557e-07,0.036780424416065216
val,lj_noisy,5,training_source_time_mean,,3,7.858447818402207e-08,0.015360533259809017
val,lj_noisy,5,wrong_time,,3,6.724237816039628e-06,1.6450168291727703
val,lj_noisy,10,encoder,,3,6.549582802032698e-08,0.03319918488462766
val,lj_noisy,10,optimized_code,encoder,3,3.618423368341913e-08,0.014634783690174421
val,lj_noisy,10,optimized_code,normal_0,3,3.821985738265236e-07,0.36429308354854584
val,lj_noisy,10,optimized_code,normal_1,3,8.969911367747349e-07,0.8769009734193484
val,lj_noisy,10,same_source_same_time_permuted,,3,1.2475903332642702e-07,0.04483957774937153
val,lj_noisy,10,training_source_time_mean,,3,5.994262034884439e-08,0.022169924651583035
val,lj_noisy,10,wrong_time,,3,1.3425222581039028e-05,3.4982690811157227
val,lj_noisy,25,encoder,,3,4.0843713122740155e-07,0.18638632694880167
val,lj_noisy,25,optimized_code,encoder,3,3.3087082821718167e-07,0.15888377030690512
val,lj_noisy,25,optimized_code,normal_0,3,8.723995582234542e-07,0.696116050084432
val,lj_noisy,25,optimized_code,normal_1,3,1.626255330696343e-06,1.4515796899795532
val,lj_noisy,25,same_source_same_time_permuted,,3,4.877338805423884e-07,0.19883759319782257
val,lj_noisy,25,training_source_time_mean,,3,3.993200815936386e-07,0.17604142427444458
val,lj_noisy,25,wrong_time,,3,1.8246635894077674e-05,5.63802448908488
val,lj_noisy,50,encoder,,3,1.9367940543209747e-06,0.9168560107549032
val,lj_noisy,50,optimized_code,encoder,3,1.71906079534286e-06,0.8788455327351888
val,lj_noisy,50,optimized_code,normal_0,3,4.935375121325099e-06,3.9639532566070557
val,lj_noisy,50,optimized_code,normal_1,3,5.065933767885629e-06,4.098812977472941
val,lj_noisy,50,same_source_same_time_permuted,,3,2.3127005685334248e-06,0.97756956020991
val,lj_noisy,50,training_source_time_mean,,3,1.934914659310986e-06,0.9185824195543925
val,lj_noisy,50,wrong_time,,3,8.652339298957182e-06,2.6655104955037436
val,lj_noisy,75,encoder,,3,4.883838452466686e-06,2.4138012329737344
val,lj_noisy,75,optimized_code,encoder,3,4.443129379675763e-06,2.3225847482681274
val,lj_noisy,75,optimized_code,normal_0,3,1.3861569944613924e-05,9.332842350006104
val,lj_noisy,75,optimized_code,normal_1,3,1.3238245325434642e-05,10.170127232869467
val,lj_noisy,75,same_source_same_time_permuted,,3,5.235750071127161e-06,2.451008756955465
val,lj_noisy,75,training_source_time_mean,,3,4.934214151338286e-06,2.404574751853943
val,lj_noisy,75,wrong_time,,3,2.0731073163915426e-05,6.357728958129883
val,lj_noisy,100,encoder,,3,9.647886751433058e-06,4.745799541473389
val,lj_noisy,100,optimized_code,encoder,3,8.782758717037117e-06,4.576933066050212
val,lj_noisy,100,optimized_code,normal_0,3,2.8810009704708744e-05,18.544893264770508
