source,rollout_steps,used_excluded,total_excluded,p_ratio_r2_excluded,p_ratio_mae_excluded,target_variance_excluded,seed,condition_excluded,kind,used_included,total_included,p_ratio_r2_included,p_ratio_mae_included,target_variance_included,condition_included,r2_excluded_minus_included
lj_noisy,75,20,20,-16.97810305397051,0.2921536663246348,0.0050961142073924,123,exclude_mixed,rollout,20,20,-8.129491564230577,0.199319969988945,0.0050961142073924,include_mixed,-8.848611489739934
lj_noisy,100,20,20,-19.04978964983793,0.3143792171177114,0.0053100823581802,123,exclude_mixed,rollout,20,20,-6.2032598784813215,0.1762918907525729,0.0053100823581802,include_mixed,-12.846529771356607
depablo_mixed_temp,5,20,20,0.001756168723728,0.3835576381112088,0.2267994575756468,123,exclude_mixed,rollout,20,20,0.1154154794629831,0.3509760665132476,0.2267994575756468,include_mixed,-0.1136593107392551
depablo_mixed_temp,10,20,20,0.1968624459718394,0.3206445245697861,0.1792210970466572,123,exclude_mixed,rollout,20,20,0.2611587689935509,0.2834554001018765,0.1792210970466572,include_mixed,-0.06429632302171148
depablo_mixed_temp,25,20,20,0.2986362104700794,0.2838221306080752,0.1814265265332104,123,exclude_mixed,rollout,20,20,0.454179021686699,0.2346772403292922,0.1814265265332104,include_mixed,-0.15554281121661961
depablo_mixed_temp,50,20,20,0.5051243728651332,0.2205889643488881,0.1290510646927359,123,exclude_mixed,rollout,20,20,0.5794615081394063,0.1721004150189692,0.1290510646927359,include_mixed,-0.0743371352742731
depablo_mixed_temp,75,20,20,0.6339587067280883,0.1833814315398504,0.1721180025747532,123,exclude_mixed,rollout,20,20,0.6947086339192419,0.1301819874097744,0.1721180025747532,include_mixed,-0.060749927191153574
depablo_mixed_temp,100,20,20,0.8318759533826705,0.1271386027975935,0.1264354805514444,123,exclude_mixed,rollout,20,20,0.9225579711710908,0.0774693029198334,0.1264354805514444,include_mixed,-0.09068201778842033
reid,5,20,20,-2.027852221445567,0.2214035012602721,0.0215407678341569,456,exclude_mixed,ae,20,20,-0.6507173255822574,0.1655692505191968,0.0215407678341569,include_mixed,-1.3771348958633096
reid,10,20,20,-3.2911965666238547,0.2225235766103639,0.0283466184553629,456,exclude_mixed,ae,20,20,-0.4280946851747729,0.174677351401477,0.0283466184553629,include_mixed,-2.863101881449082
reid,25,20,20,0.6536372123999428,0.0930473259981064,0.0340742914742546,456,exclude_mixed,ae,20,20,0.101913691148827,0.1505575223105086,0.0340742914742546,include_mixed,0.5517235212511158
reid,50,20,20,0.9001313511219695,0.0432302588614679,0.03674579830514,456,exclude_mixed,ae,20,20,0.7460879042321076,0.0826992599596971,0.03674579830514,include_mixed,0.15404344688986193
reid,75,20,20,0.9491551459345688,0.0327874725927715,0.0381454871288846,456,exclude_mixed,ae,20,20,0.8472197624709872,0.0666926317861023,0.0381454871288846,include_mixed,0.10193538346358166
reid,100,20,20,0.9330096505863328,0.0462657380591913,0.0392619338029476,456,exclude_mixed,ae,20,20,0.8674392159527706,0.0569237844334278,0.0392619338029476,include_mixed,0.06557043463356216
depablo_low_temp,5,20,20,0.7198210658375972,0.1060549252276072,0.0635535199374179,456,exclude_mixed,ae,20,20,0.8995893544626695,0.0648285750612957,0.0635535199374179,include_mixed,-0.17976828862507233
depablo_low_temp,10,20,20,0.7963944498278536,0.1033070338860506,0.0890919672458267,456,exclude_mixed,ae,20,20,0.8686070067993181,0.0960573518507923,0.0890919672458267,include_mixed,-0.07221255697146456
depablo_low_temp,25,20,20,0.9548184931377496,0.0568056932976874,0.1113451632350467,456,exclude_mixed,ae,20,20,0.8535562027030731,0.1059629528601747,0.1113451632350467,include_mixed,0.1012622904346765
depablo_low_temp,50,20,20,0.9635126724949808,0.0521480834701107,0.121923909291221,456,exclude_mixed,ae,20,20,0.9571584751261176,0.0596911542538602,0.121923909291221,include_mixed,0.006354197368863224
depablo_low_temp,75,20,20,0.97047075064374,0.0474154933075848,0.1271388104990921,456,exclude_mixed,ae,20,20,0.9650475275057262,0.053443234731513,0.1271388104990921,include_mixed,0.0054232231380138
depablo_low_temp,100,20,20,0.966781830168374,0.0519579269518633,0.1309363081666797,456,exclude_mixed,ae,20,20,0.9580936053364154,0.0544657559496092,0.1309363081666797,include_mixed,0.008688224831958635
lj_noisy,5,20,20,-14.579032716891096,0.1185837915673189,0.0012192600578043,456,exclude_mixed,ae,20,20,-35.17283040028863,0.1993808467986853,0.0012192600578043,include_mixed,20.593797683397536
lj_noisy,10,20,20,-6.255262908316794,0.1066887827469483,0.0021538442446725,456,exclude_mixed,ae,20,20,-19.35582480058537,0.1959513352131759,0.0021538442446725,include_mixed,13.100561892268576
lj_noisy,25,20,20,-0.8747020146388822,0.0709259581468918,0.0041168599721615,456,exclude_mixed,ae,20,20,-9.189190568265836,0.1862027826228661,0.0041168599721615,include_mixed,8.314488553626955
lj_noisy,50,20,20,-0.0831953615031586,0.0610693759375401,0.0047651600463273,456,exclude_mixed,ae,20,20,-5.584844860779925,0.1567573827495179,0.0047651600463273,include_mixed,5.501649499276766
lj_noisy,75,20,20,-0.1148852460251526,0.067061761867304,0.0050961142073924,456,exclude_mixed,ae,20,20,-2.3138708007635502,0.1066608577185726,0.0050961142073924,include_mixed,2.198985554738398
lj_noisy,100,20,20,0.0508402170914256,0.0605028483655893,0.0053100823581802,456,exclude_mixed,ae,20,20,-1.2626707333236866,0.0869637485242967,0.0053100823581802,include_mixed,1.3135109504151121
