model,dimension,seed,source,coordinate,n,pearson,spearman,coordinate_std
shared3,8,123,depablo_low_temp,pc4,20,0.9512752118493251,0.9293233082706768,0.016172401612752692
shared3,8,123,depablo_low_temp,pc5,20,0.9894669425727993,0.9894736842105262,0.013551473604047747
shared3,8,123,depablo_low_temp,pc6,20,-0.7759218336630304,-0.6511278195488721,0.0038706337317177307
shared3,8,123,depablo_low_temp,pc7,20,0.3052050145812068,0.12481203007518797,0.0007510107758732409
shared3,8,123,depablo_low_temp,pc8,20,-0.7978036886970832,-0.7909774436090224,7.01412829896042e-05
shared3,8,123,depablo_mixed_temp,z0,20,-0.4917647405129593,-0.4977443609022556,0.10457910187291618
shared3,8,123,depablo_mixed_temp,z1,20,0.2999383075154189,0.306766917293233,0.4610186777208219
shared3,8,123,depablo_mixed_temp,z2,20,0.11215069869922187,0.10225563909774435,0.2111755047872158
shared3,8,123,depablo_mixed_temp,z3,20,-0.3500972637812044,-0.3533834586466165,0.2372183223473243
shared3,8,123,depablo_mixed_temp,z4,20,0.2066620014636782,0.18496240601503755,0.25643021454761605
shared3,8,123,depablo_mixed_temp,z5,20,-0.27716893867605286,-0.26315789473684204,0.262261092616564
shared3,8,123,depablo_mixed_temp,z6,20,-0.2888508456052588,-0.35037593984962395,0.43361556201615736
shared3,8,123,depablo_mixed_temp,z7,20,-0.3296958561947136,-0.34285714285714286,0.4923228179516589
shared3,8,123,depablo_mixed_temp,pc1,20,-0.3582124489157652,-0.393984962406015,0.758312827925167
shared3,8,123,depablo_mixed_temp,pc2,20,0.08240684776330609,0.04360902255639097,0.5572277986643063
shared3,8,123,depablo_mixed_temp,pc3,20,0.9693980294227313,0.9639097744360902,0.05733511645102564
shared3,8,123,depablo_mixed_temp,pc4,20,0.8529655689235816,0.825563909774436,0.016568640097842514
shared3,8,123,depablo_mixed_temp,pc5,20,0.9713700435080977,0.9669172932330825,0.013026133987382756
shared3,8,123,depablo_mixed_temp,pc6,20,-0.7265178061705639,-0.7278195488721804,0.0033504255317516884
shared3,8,123,depablo_mixed_temp,pc7,20,0.12326375913621065,0.07669172932330826,0.0005155174979754337
shared3,8,123,depablo_mixed_temp,pc8,20,-0.7553179694941454,-0.7654135338345864,6.354678986123385e-05
shared3,8,123,reid,z0,20,-0.1995569239912318,-0.1518796992481203,0.06290352308760412
shared3,8,123,reid,z1,20,0.16286820131151344,0.19097744360902258,0.2628557232690919
shared3,8,123,reid,z2,20,0.13391708551244372,0.05714285714285714,0.1659357949000442
shared3,8,123,reid,z3,20,-0.2012465888455159,0.019548872180451125,0.11089928964613126
shared3,8,123,reid,z4,20,0.13301956072336377,0.17142857142857143,0.19314279104141044
shared3,8,123,reid,z5,20,-0.0968589758809037,-0.02857142857142857,0.19458799053798628
shared3,8,123,reid,z6,20,-0.13651537890122933,-0.1744360902255639,0.2271077783925472
shared3,8,123,reid,z7,20,-0.20797545085911442,-0.19849624060150375,0.27466263741741836
shared3,8,123,reid,pc1,20,-0.2242973118976887,-0.18796992481203004,0.3738304604636997
shared3,8,123,reid,pc2,20,0.037465393712249426,0.05413533834586466,0.4172681899977329
shared3,8,123,reid,pc3,20,0.7937465631693653,0.7969924812030074,0.023414491566352707
shared3,8,123,reid,pc4,20,0.9574422263802527,0.9383458646616539,0.025409395637118148
shared3,8,123,reid,pc5,20,-0.8845205902323752,-0.8421052631578947,0.0034748273587310616
shared3,8,123,reid,pc6,20,0.12144723701780649,0.13383458646616542,0.0012144808569675807
shared3,8,123,reid,pc7,20,-0.30352914049088514,-0.24661654135338343,0.00025746802407439684
shared3,8,123,reid,pc8,20,-0.9120084601292638,-0.8947368421052632,5.4918335363410746e-05
shared3,8,456,depablo_low_temp,z0,20,-0.24524839374628263,-0.28421052631578947,0.10308989719594283
shared3,8,456,depablo_low_temp,z1,20,-0.1117933749097487,0.004511278195488721,0.24837304462865537
shared3,8,456,depablo_low_temp,z2,20,-0.7364250341508871,-0.7654135338345864,0.13086371891720064
shared3,8,456,depablo_low_temp,z3,20,0.06635772436702567,0.003007518796992481,0.4236232140344738
shared3,8,456,depablo_low_temp,z4,20,0.8490877496768793,0.8345864661654135,0.15326168571991286
shared3,8,456,depablo_low_temp,z5,20,0.6675220825966076,0.613533834586466,0.08225633384392227
shared3,8,456,depablo_low_temp,z6,20,-0.31451206094930595,-0.19548872180451127,0.5405466350305045
shared3,8,456,depablo_low_temp,z7,20,-0.7392238817363502,-0.7819548872180451,0.2505833892512562
shared3,8,456,depablo_low_temp,pc1,20,-0.21110329167093286,-0.24511278195488717,0.5476282175095052
shared3,8,456,depablo_low_temp,pc2,20,-0.4210474658438119,-0.29473684210526313,0.5647840170584936
shared3,8,456,depablo_low_temp,pc3,20,0.8300764720741665,0.7383458646616541,0.17329822803530576
shared3,8,456,depablo_low_temp,pc4,20,0.981794759433299,0.9203007518796992,0.0606879514638789
