source,dimension,seed,position_mse_shared3,position_mse_shared4,strain_x_mae_shared3,strain_x_mae_shared4,strain_y_mae_shared3,strain_y_mae_shared4,p_ratio_r2_shared3,p_ratio_r2_shared4,p_ratio_mae_shared3,p_ratio_mae_shared4,legacy_p_ratio_r2_shared3,legacy_p_ratio_r2_shared4,legacy_p_ratio_mae_shared3,legacy_p_ratio_mae_shared4,position_mse_shared4_minus_shared3,strain_x_mae_shared4_minus_shared3,strain_y_mae_shared4_minus_shared3,p_ratio_r2_shared4_minus_shared3,p_ratio_mae_shared4_minus_shared3,legacy_p_ratio_r2_shared4_minus_shared3,legacy_p_ratio_mae_shared4_minus_shared3
depablo_mixed_temp,8,123,2.2459118395090623e-05,2.169276676795562e-05,0.0021767032,0.0017793445,0.0010112359,0.00073261315,0.9174410664303656,0.9294573561565684,0.06548319645226,0.0659860931336879,0.9172247150380052,0.9289487980950392,0.0658265497350112,0.0663684104001322,-7.663516271350043e-07,-0.0003973587,-0.00027862275,0.012016289726202833,0.0005028966814279029,0.011724083057033985,0.0005418606651209912
depablo_mixed_temp,8,456,2.267756709670721e-05,2.3513839749966792e-05,0.0015577747,0.0013812659,0.0017131541,0.0017126445,0.7766068709452176,0.7614999020237156,0.1165398227982223,0.1181450650095939,0.8072171534138535,0.848170416906043,0.111808162132822,0.1040675064045546,8.362726532595823e-07,-0.00017650879999999997,-5.095999999998706e-07,-0.015106968921501984,0.0016052422113716075,0.04095326349218953,-0.007740655728267404
depablo_mixed_temp,8,786,2.2645317585556768e-05,2.224446354262e-05,0.002160369,0.0016210831,0.0009490085,0.0010666453,0.4259350038170456,0.9548209495898587,0.1158122777938842,0.0601412393152713,0.9238259905289258,0.9547225811907188,0.063820367217254,0.060465887374498,-4.0085404293676655e-07,-0.0005392859000000001,0.00011763680000000001,0.5288859457728132,-0.0556710384786129,0.030896590661793066,-0.0033544798427559974
lj_noisy,2,123,,7.9623182045907e-06,,0.0009122699,,0.0004744309,,0.497403022484446,,0.0433818705379962,,0.4896133324139401,,0.0433840804582767,,,,,,,
lj_noisy,2,456,,8.166180464286299e-06,,0.0010847982,,0.000815719,,0.3827443360854288,,0.0466316103935241,,0.3735634345323825,,0.0466361468348152,,,,,,,
lj_noisy,2,786,,8.510694351571147e-06,,0.0013559893,,0.00092701614,,0.1088273480340129,,0.0538856655359268,,0.0980189316239105,,0.0538624047995887,,,,,,,
lj_noisy,4,123,,8.894253437574661e-06,,0.0012391486,,0.0009779101,,-1.263657167467608,,0.0779625818133354,,-1.2837352332781706,,0.0778912739400057,,,,,,,
lj_noisy,4,456,,8.463924245916132e-06,,0.0013408043,,0.0008204205,,0.250756275279645,,0.0499321043491363,,0.2381683079968134,,0.0499483579138208,,,,,,,
lj_noisy,4,786,,8.064262647167198e-06,,0.0010361436,,0.00089883246,,-0.1803233229186525,,0.0679292395710945,,-0.1965572933022354,,0.0679321227967844,,,,,,,
lj_noisy,6,123,,8.139941905938031e-06,,0.0010760186,,0.0006733832,,0.3213473374810845,,0.045951272547245,,0.3123734063314788,,0.0459526949424719,,,,,,,
lj_noisy,6,456,,8.235943982981554e-06,,0.0011318829,,0.00079820503,,0.1999988642201373,,0.0524993941187858,,0.1892912623008477,,0.052486578721734,,,,,,,
lj_noisy,6,786,,8.298043690047053e-06,,0.0012845797,,0.00075719366,,0.180574541093944,,0.0556154295802116,,0.1712789604887143,,0.0555500979995397,,,,,,,
lj_noisy,8,123,,8.055548300944793e-06,,0.0009150421,,0.00053879333,,0.4212115558298338,,0.0469822585582733,,0.410888997942638,,0.0470189546151525,,,,,,,
lj_noisy,8,456,,8.277501683551236e-06,,0.0012319325,,0.00085208984,,0.3715296123153273,,0.0443454205989837,,0.364009258056847,,0.0443378224508395,,,,,,,
lj_noisy,8,786,,8.248952667599951e-06,,0.0012675549,,0.00074929476,,0.2591231442823224,,0.0448688477277755,,0.2495921413042752,,0.0448922570055431,,,,,,,
