source,frame,control,total,position_mse,x_mse,y_mse,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,legacy_valid,legacy_true_valid,legacy_p_ratio_r2,legacy_p_ratio_mae,legacy_target_variance,strain_x_mae,strain_y_mae,model,dimension,seed,training_scope
reid,100,ae,20,6.740049164477568e-06,1.0282653630611091e-05,3.1974444468119147e-06,20,20,0.9687843557609498,0.0255491985939443,0.0392620598956476,20,20,0.9687365655831912,0.0255579479626588,0.0392619338029476,0.0013576063,0.0005351364,shared4,2,456,shared4
depablo_low_temp,100,ae,20,3.3618772050658663e-06,3.986783690379525e-06,2.736970745331746e-06,20,20,0.9814307724529486,0.040341757889837,0.1299516855584822,20,20,0.9814041197711232,0.0405024384455389,0.1309363081666797,0.0016514724,0.0008077278,shared4,2,786,shared4
depablo_mixed_temp,100,ae,20,2.294724475291332e-05,2.413778691447988e-05,2.175670372537297e-05,20,20,0.9070567275582968,0.0697247034870088,0.1249158133632106,20,20,0.922220235972602,0.0675261783557487,0.1264354805514444,0.0023714765,0.000715893,shared4,2,786,shared4
lj_noisy,100,ae,20,8.510694351571147e-06,9.629620444684406e-06,7.391767667286331e-06,20,20,0.1088273480340129,0.0538856655359268,0.0053832740143763,20,20,0.0980189316239105,0.0538624047995887,0.0053100823581802,0.0013559893,0.00092701614,shared4,2,786,shared4
reid,100,ae,20,6.9912169408326005e-06,1.0416204781904526e-05,3.566228974705154e-06,20,20,0.9008390839985172,0.0485513522755354,0.0392620598956476,20,20,0.9006845074660573,0.0485690945644702,0.0392619338029476,0.0015969842,0.0006958102,shared4,2,786,shared4
depablo_low_temp,100,ae,20,3.418594792492513e-06,4.125386266196074e-06,2.711803308841354e-06,20,20,0.9646251400393552,0.054534013941884,0.1299516855584822,20,20,0.9651130236970265,0.0545414679449551,0.1309363081666797,0.001882102,0.0009054715,shared4,4,123,shared4
depablo_mixed_temp,100,ae,20,2.25289093975789e-05,2.3070516647294426e-05,2.198730201712351e-05,20,20,0.924229837488913,0.0766880990937352,0.1249158133632106,20,20,0.9247107475969808,0.0769869381728269,0.1264354805514444,0.002316407,0.001161081,shared4,4,123,shared4
lj_noisy,100,ae,20,8.894253437574661e-06,9.764937453837776e-06,8.023569307624712e-06,20,20,-1.263657167467608,0.0779625818133354,0.0053832740143763,20,20,-1.2837352332781706,0.0778912739400057,0.0053100823581802,0.0012391486,0.0009779101,shared4,4,123,shared4
reid,100,ae,20,7.107935493877448e-06,1.073949994179202e-05,3.476370963539921e-06,20,20,0.8683819590984068,0.0617784225614741,0.0392620598956476,20,20,0.8690515174815723,0.0616714471003245,0.0392619338029476,0.0018673902,0.001071073,shared4,4,123,shared4
depablo_low_temp,100,ae,20,3.2123406299433555e-06,3.5707649061578198e-06,2.853916225831199e-06,20,20,0.9833362977652286,0.0369103088974952,0.1299516855584822,20,20,0.9833897131450836,0.0370432674428966,0.1309363081666797,0.0013631126,0.00080187886,shared4,4,456,shared4
depablo_mixed_temp,100,ae,20,2.272351384249305e-05,2.210600639500626e-05,2.334102031795737e-05,20,20,0.8134207827338497,0.1066227082163095,0.1249158133632106,20,20,0.8165116720562696,0.1066019658282103,0.1264354805514444,0.0013776293,0.0016871446,shared4,4,456,shared4
lj_noisy,100,ae,20,8.463924245916132e-06,9.701023441266442e-06,7.226825277939497e-06,20,20,0.250756275279645,0.0499321043491363,0.0053832740143763,20,20,0.2381683079968134,0.0499483579138208,0.0053100823581802,0.0013408043,0.0008204205,shared4,4,456,shared4
reid,100,ae,20,6.948951278218374e-06,1.0642958386597456e-05,3.2549443815810264e-06,20,20,0.9306599432036384,0.0359810326248407,0.0392620598956476,20,20,0.930611314208996,0.0359849710913339,0.0392619338029476,0.0014442832,0.00057320396,shared4,4,456,shared4
depablo_low_temp,100,ae,20,3.55671963916393e-06,4.240559994173054e-06,2.8728793239451987e-06,20,20,0.9886539312494956,0.031122008152306,0.1299516855584822,20,20,0.9885377079410848,0.0313154152751581,0.1309363081666797,0.00204339,0.00085342873,shared4,4,786,shared4
depablo_mixed_temp,100,ae,20,2.372197166096157e-05,2.519419510349508e-05,2.2249748008107416e-05,20,20,0.9204770317385784,0.0747759580612182,0.1249158133632106,20,20,0.9204421922830384,0.075210195049338,0.1264354805514444,0.002044668,0.0012089041,shared4,4,786,shared4
lj_noisy,100,ae,20,8.064262647167198e-06,8.87374324065604e-06,7.254782030940987e-06,20,20,-0.1803233229186525,0.0679292395710945,0.0053832740143763,20,20,-0.1965572933022354,0.0679321227967844,0.0053100823581802,0.0010361436,0.00089883246,shared4,4,786,shared4
reid,100,ae,20,6.991264729094837e-06,1.057182678891877e-05,3.4107027303775795e-06,20,20,0.9326179390701524,0.0443684503494296,0.0392620598956476,20,20,0.9324009498495992,0.0443895159358929,0.0392619338029476,0.0015139356,0.0007622381,shared4,4,786,shared4
depablo_low_temp,100,ae,20,3.140450940009032e-06,3.616520166360715e-06,2.6643818927141185e-06,20,20,0.9870082673985476,0.0310636699199676,0.1299516855584822,20,20,0.9870883220344364,0.0310729168765651,0.1309363081666797,0.0012588433,0.00072196964,shared4,6,123,shared4
depablo_mixed_temp,100,ae,20,2.2769651747012176e-05,2.3109720251568434e-05,2.242958360909597e-05,20,20,0.9135900985627332,0.0756076347082853,0.1249158133632106,20,20,0.9139138178271766,0.0759866824897273,0.1264354805514444,0.001895541,0.0009252488,shared4,6,123,shared4
lj_noisy,100,ae,20,8.139941905938031e-06,9.076927926798816e-06,7.202955748653039e-06,20,20,0.3213473374810845,0.045951272547245,0.0053832740143763,20,20,0.3123734063314788,0.0459526949424719,0.0053100823581802,0.0010760186,0.0006733832,shared4,6,123,shared4
reid,100,ae,20,6.622731299898988e-06,1.0057031755650312e-05,3.188430970624268e-06,20,20,0.9728110370999908,0.0253134530968964,0.0392620598956476,20,20,0.9728962074534214,0.0252857825857537,0.0392619338029476,0.0009662793,0.0004865111,shared4,6,123,shared4
depablo_low_temp,100,ae,20,3.581706366162507e-06,4.045765783189381e-06,3.117646724604129e-06,20,20,0.973619030673127,0.0423664059489965,0.1299516855584822,20,20,0.9739503179953958,0.0423410080851649,0.1309363081666797,0.001414556,0.0009934687,shared4,6,456,shared4
depablo_mixed_temp,100,ae,20,2.319492222113695e-05,2.269420924676524e-05,2.3695638117260383e-05,20,20,0.8301307253191004,0.1030306678265333,0.1249158133632106,20,20,0.8467239988337809,0.1006302600079559,0.1264354805514444,0.0014983828,0.001662416,shared4,6,456,shared4
