source,training_scope,dimension,position_mse_mean,position_mse_std,strain_x_mae_mean,strain_x_mae_std,strain_y_mae_mean,strain_y_mae_std,p_ratio_r2_mean,p_ratio_r2_std,p_ratio_mae_mean,p_ratio_mae_std,legacy_p_ratio_r2_mean,legacy_p_ratio_r2_std,legacy_p_ratio_mae_mean,legacy_p_ratio_mae_std
reid,individual,4,7.210477265099749e-06,4.880264313563874e-07,0.0020558682666666664,0.0006628670339246125,0.0007516729333333334,0.0001659269395248503,0.9243835229997096,0.010584873119767812,0.0431957978677625,0.0025526296672974155,0.9244432425779912,0.010618153960579291,0.04318655437294063,0.0025441901051910677
reid,individual,6,7.0813059930211855e-06,2.079967125066598e-07,0.0020430318666666667,0.00019448071815916183,0.0006891086566666667,0.00012792706575909818,0.9422178970338809,0.02066880983578559,0.03680923615271844,0.007768438489566127,0.9422892010025322,0.020631812316644932,0.036787740668250565,0.007753658971932932
reid,individual,8,7.259075949643072e-06,2.7153568798094285e-07,0.0019793403666666667,0.00029629058176125565,0.00058061187,4.792842964832773e-05,0.930351576814568,0.003176289285657181,0.04109846001180503,0.0007782909547372503,0.9304165125052037,0.0033302339888147854,0.0410913547344186,0.0008053583743193268
reid,shared3,2,6.912249902294813e-06,2.3041065673813636e-07,0.0012933684,0.00028418294677835614,0.00096202335,0.000370719822851473,0.849949615610857,0.11636472481935813,0.05956811632883421,0.0274379915000142,0.8496047907465089,0.11634993926740522,0.05962892760542877,0.027460417629554146
reid,shared3,4,6.9091831477408055e-06,9.68561534840864e-08,0.0012829887666666667,0.0003070882661434222,0.0007226634566666667,0.00017391036773138803,0.9189748259188061,0.04417617522942198,0.04204716822908566,0.013737258578621122,0.9188633675096757,0.044573337518249934,0.042056658543596,0.013788168930932761
reid,shared3,6,6.7599581522396564e-06,9.311056466413528e-08,0.0014793763,0.0001392982360923138,0.0005591906833333334,5.2237716073358644e-05,0.9521929726180415,0.012609708462506648,0.035446180251892605,0.005235735179949441,0.9520857959422662,0.012757804551207268,0.03546714551442517,0.005286646044714467
reid,shared3,8,6.736054802066368e-06,1.694824937168315e-07,0.0013128853666666666,7.226078814144871e-05,0.0006878028666666668,8.371353320851554e-05,0.9318648423124293,0.021275220558176093,0.04190371220465747,0.0030272478516743676,0.9316313398063519,0.021612999282100653,0.0419425060534945,0.0030856070131276858
reid,shared4,2,6.770365591061515e-06,2.0736195573255387e-07,0.0013906266999999999,0.00019198895132118923,0.0005593485666666667,0.00012611096136666054,0.9455717282655729,0.03874884940366232,0.03450588936296597,0.012316512085188507,0.9454495066606738,0.03877817804182317,0.0345275385457299,0.012315512251546071
reid,shared4,4,7.016050500396887e-06,8.233921332792129e-08,0.0016085363333333332,0.00022686308078365982,0.0008021716866666666,0.00025132531459381204,0.9105532804573993,0.03653455481904604,0.0473759685119148,0.0131590351473403,0.9106879271800558,0.0360692896848068,0.04734864470918377,0.013096415340191408
reid,shared4,6,6.712758176756022e-06,7.802434653258787e-08,0.0013212532666666667,0.0003130603006262585,0.0005174964666666667,4.406553566817646e-05,0.9650979920106022,0.008865106796504905,0.028091011972477,0.006837585710483681,0.9650628612590005,0.008957961900383712,0.028096158924292666,0.006861689790206876
reid,shared4,8,6.631622557051742e-06,4.5341641371234614e-08,0.001181962,0.00011864150532642456,0.00051091682,6.0886630152442345e-05,0.9615200260726947,0.006127716518544259,0.028796236806859537,0.0005996400954423523,0.9614496310179795,0.006310028031570324,0.028816768521491332,0.0006302146228022532
