source,split,index,original_index,target,z0_0,z0_1,z1_0,z1_1,z5_0,z5_1
depablo_low_temp,validation,19,78,0.3578450735617016,-1.6536675691604614,-1.6605143547058105,-1.613619089126587,-1.6927175521850586,-1.4450883865356445,-1.820219874382019
depablo_mixed_temp,validation,0,268,-0.4586763640469313,-1.7875325679779053,-1.0338419675827026,-0.8881496787071228,-1.217882513999939,-2.2528133392333984,-0.9580867886543274
depablo_mixed_temp,validation,1,161,0.30826831314618214,-1.7049980163574219,-2.9083821773529053,-2.2508370876312256,-2.834317684173584,-2.5313475131988525,-3.1988096237182617
depablo_mixed_temp,validation,2,47,0.22082333867854098,-1.835227131843567,-2.555086851119995,-1.8426752090454102,-2.5902493000030518,-1.6980030536651611,-2.696235418319702
depablo_mixed_temp,validation,3,191,0.4193063717226663,-1.855249285697937,-0.792309582233429,-1.6657037734985352,-0.9401342868804932,-1.5194827318191528,-0.8918135166168213
depablo_mixed_temp,validation,4,242,-0.19405062438648085,-1.995140552520752,-1.0386072397232056,-1.5951753854751587,-1.0039985179901123,-2.265202045440674,-1.1770122051239014
depablo_mixed_temp,validation,5,208,-0.32148158080908495,-1.521288275718689,-1.6908024549484253,-3.144570827484131,-1.220585584640503,-2.1653308868408203,-0.8823696374893188
depablo_mixed_temp,validation,6,221,-0.12751704226901897,-1.7629586458206177,-1.377676010131836,-1.0177267789840698,-0.36842793226242065,-2.0957603454589844,-0.41380375623703003
depablo_mixed_temp,validation,7,140,0.37722338032008185,-1.9596138000488281,-1.2174432277679443,-1.9135160446166992,-1.203473687171936,-1.995005488395691,-1.1710492372512817
depablo_mixed_temp,validation,8,118,-0.18435756838704018,-1.8840824365615845,-1.8676186800003052,-1.787757396697998,-1.9781134128570557,-1.7962515354156494,-2.1210145950317383
depablo_mixed_temp,validation,9,158,0.18531888782520317,-1.7762458324432373,-2.3185718059539795,-3.4908227920532227,-2.5607869625091553,-2.522024154663086,-2.4328670501708984
depablo_mixed_temp,validation,10,250,-0.636978621357285,-1.839611291885376,-1.9982658624649048,-7.759456634521484,-2.713698625564575,-2.713763952255249,-0.08118487894535065
depablo_mixed_temp,validation,11,136,-0.56948612543293,-1.7563543319702148,-2.179213523864746,-3.5437769889831543,-2.9187731742858887,-2.3649916648864746,-2.6003835201263428
depablo_mixed_temp,validation,12,68,-0.4392105168953849,-2.5709035396575928,-1.7914975881576538,-2.442350149154663,-1.6867960691452026,-2.7642078399658203,-2.019648551940918
depablo_mixed_temp,validation,13,96,0.182578686411987,-1.764609932899475,-2.3309574127197266,-1.8327438831329346,-2.365255832672119,-1.3652567863464355,-2.4426450729370117
depablo_mixed_temp,validation,14,262,0.09542330144036476,-1.737208604812622,-1.4933487176895142,-2.2034683227539062,-0.9987612366676331,-0.394094318151474,-1.49550461769104
depablo_mixed_temp,validation,15,70,0.32730089705365395,-1.9127596616744995,-1.0832985639572144,-1.766618251800537,-0.9764970541000366,-1.454638123512268,-1.1417810916900635
depablo_mixed_temp,validation,16,78,0.3604905423469671,-1.6536180973052979,-1.6613150835037231,-1.5528417825698853,-1.6791491508483887,-1.6985151767730713,-1.9868290424346924
depablo_mixed_temp,validation,17,44,-0.5890735482937591,-1.7123019695281982,-3.093557596206665,-1.8254245519638062,-3.1934926509857178,-1.834179162979126,-3.3141326904296875
depablo_mixed_temp,validation,18,36,-0.42374491734946157,-2.0956339836120605,-2.1655287742614746,-2.147531509399414,-2.1709978580474854,-2.1952998638153076,-2.4174721240997314
depablo_mixed_temp,validation,19,39,0.04910817340987088,-1.685245156288147,-1.377458095550537,-1.5946440696716309,-1.4498260021209717,-1.5135610103607178,-1.5721511840820312
